"idnum","child_attend_kindergarten","povstatus","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1","c_neat_work_w3","c_curious_w3","c_interest_w3","f_youth_cor_w3","m_youth_cor_w3","f_quit_w4","m_quit_w4","father_fin_security_w234","mother_fin_security_w2345","hs_avg_score","child_edu_level","fparents_edustatus_w2345","mparents_edustatus_w2345"
71,NA,"high-income",NA,NA,NA,"Some","Male","Yes","Neither parent attended college","white","hispanic",NA,"No",NA,20,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",3.75,NA,NA,"Neither parent attended college"
72,"yes","high-income",NA,7,"Some","Not enough","Female","No","At least one parent attended college","black","black",NA,"No","No",26,29,NA,NA,NA,NA,NA,NA,NA,NA,"No",3.5,"Completed college/grad",NA,"Neither parent attended college"
73,NA,"low-income",NA,2,NA,"Some","Male","No","Neither parent attended college","hispanic","white","No","No",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"yes","high-income",8,NA,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",26,29,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.75,"Completed college/grad","At least one parent attended college","Neither parent attended college"
75,NA,"high-income",NA,4,"Just enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic","No","No","No",21,19,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA
76,"yes","low-income",NA,4,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",41,33,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,"No","No",2.75,"Completed college/grad","Neither parent attended college","Neither parent attended college"
77,"yes","high-income",NA,6,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",20,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.75,"Completed high school","At least one parent attended college","At least one parent attended college"
78,NA,"low-income",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"no","low-income",6,NA,"Not enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",18,18,NA,NA,NA,NA,NA,NA,"no","No","No",NA,NA,NA,"Neither parent attended college"
80,"yes","high-income",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",32,39,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",4,"Completed college/grad","At least one parent attended college","At least one parent attended college"
81,"yes","high-income",NA,NA,"Some","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,20,NA,NA,"Not true","no",NA,NA,NA,"Yes","Yes",3.25,NA,"Neither parent attended college","Neither parent attended college"
82,"no","low-income",6,NA,"Just enough","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",28,32,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"At least one parent attended college",NA
83,"yes","low-income",NA,4,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,19,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","No",3,"Completed high school","Neither parent attended college","At least one parent attended college"
84,"yes","high-income",NA,1,"Not enough","Not enough","Female","No","Neither parent attended college","black","black","No","No","No",37,50,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",3.25,"Completed college/grad","Neither parent attended college","Neither parent attended college"
85,NA,"low-income",5,4,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",31,32,NA,NA,"Very true or often true",NA,NA,NA,NA,"No","No",3.75,"Some college, tech","Neither parent attended college","Neither parent attended college"
86,"yes","low-income",NA,1,NA,NA,"Female",NA,"Neither parent attended college","black",NA,NA,"No",NA,29,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",3,"Completed high school",NA,"At least one parent attended college"
87,"yes","high-income",NA,NA,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,24,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",2.66666666666667,NA,NA,"At least one parent attended college"
88,"yes","low-income",4,NA,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",22,31,"Very true or often true","Very true or often true","Very true or often true",NA,NA,"no",NA,"No","No",2.75,"Some college, tech","Neither parent attended college","Neither parent attended college"
89,NA,"low-income",5,5,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",23,20,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,"Neither parent attended college"
90,"yes","low-income",6,1,"Some","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",21,23,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",3.25,NA,"Neither parent attended college",NA
91,"yes","high-income",3,7,"Not enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",24,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",NA,NA,"Neither parent attended college","Neither parent attended college"
92,NA,"low-income",4,4,"Not enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",32,36,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
93,"yes","low-income",2,4,"Just enough","Some","Female","No","At least one parent attended college","hispanic",NA,NA,"No","No",28,29,NA,NA,"Not true",NA,NA,NA,NA,"No","No",2.5,"Completed high school",NA,"Neither parent attended college"
94,"yes","low-income",NA,5,NA,"Some","Male",NA,"Neither parent attended college","black","black",NA,"No",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",4,"Completed high school",NA,"Neither parent attended college"
95,"yes","high-income",NA,6,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",19,34,NA,NA,"Not true",NA,"no",NA,NA,NA,"Yes",1.5,"Completed high school",NA,"Neither parent attended college"
96,"yes","low-income",NA,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",18,18,NA,NA,"Somewhat or sometimes true",NA,NA,NA,"no","Yes","Yes",2.5,"Completed high school","At least one parent attended college","Neither parent attended college"
97,"yes","low-income",2,NA,"Not enough","Not enough","Male","No","At least one parent attended college","black","black",NA,"No","No",27,21,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.5,"Completed high school","Neither parent attended college",NA
98,NA,"high-income",NA,6,NA,"Just enough","Male","No","Neither parent attended college","black","black","No","No",NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",3.25,"Completed high school",NA,"Neither parent attended college"
99,NA,"high-income",7,8,"Not enough","Some","Female","No","At least one parent attended college","black","black","No","No","No",25,22,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","At least one parent attended college"
100,"no","high-income",6,8,"Some","Some","Male","No","Neither parent attended college","white","white",NA,"No","No",19,19,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3.75,NA,"Neither parent attended college","At least one parent attended college"
101,"yes","high-income",NA,NA,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",28,34,NA,NA,"Very true or often true",NA,NA,NA,NA,"No","Yes",2.75,"Completed high school","Neither parent attended college",NA
102,NA,"high-income",NA,NA,"Not enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",21,22,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
103,"yes","high-income",7,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","hispanic",NA,"No","No",28,36,NA,NA,"Very true or often true",NA,NA,NA,NA,"No","Yes",4,"Some college, tech","Neither parent attended college","Neither parent attended college"
104,"yes","low-income",1,1,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",25,38,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.5,"Completed high school","Neither parent attended college","Neither parent attended college"
105,"yes","low-income",NA,1,"Just enough","Some","Female","No","Neither parent attended college","black","hispanic","No","No","No",24,29,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.25,"Some college, tech","At least one parent attended college",NA
106,NA,"high-income",5,6,"Just enough",NA,"Male","No","At least one parent attended college","hispanic","hispanic",NA,NA,"Yes",21,26,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college","Neither parent attended college"
107,"yes","high-income",NA,6,"Some",NA,"Male","No","Neither parent attended college","black","black","Yes",NA,"No",23,24,NA,NA,NA,NA,NA,"no",NA,"No","No",1.75,"Completed high school","At least one parent attended college","Neither parent attended college"
108,"yes","high-income",9,9,"Some","Some","Male","No","At least one parent attended college",NA,"white",NA,"No",NA,32,32,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","No",4,"Some college, tech","Neither parent attended college","At least one parent attended college"
109,"yes","high-income",7,NA,"Some","Some","Female","No","Neither parent attended college","black","black","Yes","No","No",20,20,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.75,"Completed high school","Neither parent attended college","Neither parent attended college"
110,"yes","high-income",NA,7,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,20,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"No",NA,NA,NA,"Neither parent attended college"
111,"yes","low-income",NA,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",17,26,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Neither parent attended college"
112,"yes","high-income",5,NA,"Just enough",NA,"Female","No","Neither parent attended college","black","black",NA,NA,"No",18,17,"Not true","Somewhat or sometimes true","Not true","no",NA,NA,NA,"Yes","Yes",3.25,"Some college, tech","Neither parent attended college","At least one parent attended college"
113,"yes","low-income",5,3,"Just enough","Just enough","Male","No","At least one parent attended college","hispanic",NA,"Yes","No","No",19,21,NA,NA,"Not true",NA,NA,NA,"no","Yes","No",3.25,"Some college, tech","At least one parent attended college","Neither parent attended college"
114,"yes","low-income",5,1,"Just enough","Some","Female","No","Neither parent attended college","black","black","Yes","No","No",26,23,NA,NA,"Somewhat or sometimes true","no",NA,NA,NA,"Yes","Yes",2,"Completed high school","Neither parent attended college","Neither parent attended college"
115,"no","low-income",NA,6,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",41,41,NA,NA,"Not true",NA,NA,"no",NA,"No","No",NA,"Completed high school","Neither parent attended college",NA
116,"yes","low-income",2,1,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",24,28,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.75,NA,"Neither parent attended college","Neither parent attended college"
117,"no","low-income",7,4,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",27,26,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
118,"yes","low-income",3,1,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",23,27,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"Neither parent attended college",NA
