"idnum","child_attend_kindergarten","povstatus"
"0093","no","low-income"
"0094","yes","low-income"
"0095",NA,"high-income"
"0096","yes","low-income"
"0097","no","low-income"
"0098",NA,"high-income"
"0099",NA,"high-income"
"0100",NA,"high-income"
"0101","yes","high-income"
"0102",NA,"high-income"
"0103","yes","high-income"
"0104",NA,"low-income"
"0105","no","low-income"
"0106",NA,"high-income"
"0107",NA,"high-income"
"0108","no","high-income"
"0109","yes","high-income"
"0110","yes","high-income"
"0111","yes","low-income"
"0112",NA,"high-income"
"0113",NA,"low-income"
"0114","yes","low-income"
"0115",NA,"low-income"
"0116","no","low-income"
"0117","no","low-income"
"0118",NA,"low-income"
"0119",NA,"low-income"
"0120","no","high-income"
"0121",NA,"high-income"
"0122","no","low-income"
"0123",NA,"low-income"
"0124",NA,"high-income"
"0125","no","high-income"
"0126",NA,"high-income"
"0127",NA,"low-income"
"0128","no","high-income"
"0129",NA,"high-income"
"0130","yes","high-income"
"0131",NA,"low-income"
"0132",NA,"low-income"
"0133","no","low-income"
"0134",NA,"high-income"
"0135",NA,"high-income"
"0136","yes","high-income"
"0137",NA,"high-income"
"0138","yes","high-income"
"0139","yes","low-income"
"0140","yes","high-income"
"0141",NA,"high-income"
"0142",NA,"low-income"
"0143",NA,"low-income"
"0144","yes","low-income"
"0145","no","high-income"
"0146",NA,"high-income"
"0147","no","low-income"
"0148","yes","low-income"
"0149",NA,"low-income"
"0150",NA,"high-income"
"0151","yes","high-income"
"0152","yes","low-income"
"0153","yes","high-income"
"0154","no","high-income"
"0155","no","high-income"
"0156","yes","low-income"
"0157","yes","high-income"
"0158",NA,"high-income"
"0159",NA,"low-income"
"0160","yes","low-income"
"0161",NA,"low-income"
"0162",NA,"low-income"
"0163","no","high-income"
"0164",NA,"low-income"
"0165",NA,"low-income"
"0166",NA,"low-income"
"0167","yes","low-income"
"0168",NA,"high-income"
"0169",NA,"low-income"
"0170",NA,"low-income"
"0171","no","high-income"
"0172",NA,"low-income"
"0173",NA,"low-income"
"0174","yes","high-income"
"0175",NA,"high-income"
"0176","yes","high-income"
"0177","no","low-income"
"0178",NA,"low-income"
"0179","no","high-income"
"0180","no","low-income"
"0181","no","low-income"
"0182",NA,"low-income"
"0183",NA,"low-income"
"0184","yes","low-income"
"0185",NA,"low-income"
"0186",NA,"high-income"
"0187","yes","high-income"
"0188",NA,"high-income"
"0189","no","low-income"
"0190","yes","high-income"
"0191",NA,"high-income"
"0192",NA,"high-income"
"0193",NA,"low-income"
"0194",NA,"high-income"
"0195","yes","low-income"
"0196","no","low-income"
"0197","yes","high-income"
"0198","yes","high-income"
"0199","yes","high-income"
"0200",NA,"low-income"
"0201","yes","low-income"
"0202",NA,"high-income"
"0203",NA,"high-income"
"0204","no","low-income"
"0205",NA,"high-income"
"0206","no","low-income"
"0207",NA,"high-income"
"0208",NA,"high-income"
"0209",NA,"low-income"
"0210",NA,"high-income"
"0211","no","low-income"
"0212",NA,"low-income"
"0213","yes","high-income"
"0214",NA,"low-income"
"0215","yes","low-income"
"0216","yes","low-income"
"0217","yes","high-income"
"0218","yes","high-income"
"0219",NA,"low-income"
"0220",NA,"high-income"
"0221",NA,"low-income"
"0222",NA,"high-income"
"0223",NA,"high-income"
"0224","yes","low-income"
"0225",NA,"low-income"
"0226","yes","high-income"
"0227","yes","high-income"
"0228",NA,"high-income"
"0229","no","low-income"
"0230",NA,"high-income"
"0231","no","low-income"
"0232","no","low-income"
"0233","no","high-income"
"0234","no","high-income"
"0235","no","high-income"
"0236",NA,"high-income"
"0237","no","high-income"
"0238","no","low-income"
"0239",NA,"low-income"
"0240",NA,"high-income"
"0241","yes","high-income"
"0242",NA,"high-income"
"0243","no","low-income"
"0244",NA,"low-income"
"0245","no","high-income"
"0246","yes","high-income"
"0247","no","low-income"
"0248",NA,"high-income"
"0249","yes","high-income"
"0250",NA,"high-income"
"0251","no","high-income"
"0252","no","high-income"
"0253",NA,"low-income"
"0254",NA,"low-income"
"0255","no","high-income"
"0256",NA,"low-income"
"0257",NA,"low-income"
"0258","no","high-income"
"0259","no","low-income"
"0260","no","low-income"
"0261","yes","low-income"
"0262",NA,"low-income"
"0263","yes","low-income"
"0264",NA,"high-income"
"0265",NA,"low-income"
"0266",NA,"high-income"
"0267","no","low-income"
"0268","yes","high-income"
"0269","yes","high-income"
"0270",NA,"low-income"
"0271","yes","low-income"
"0272",NA,"low-income"
"0273",NA,"high-income"
"0274",NA,"low-income"
"0275","yes","low-income"
"0276","no","high-income"
"0277","yes","low-income"
"0278",NA,"low-income"
"0279",NA,"low-income"
"0280","yes","low-income"
"0281",NA,"low-income"
"0282","no","low-income"
"0283","no","high-income"
"0284",NA,"high-income"
"0285",NA,"high-income"
"0286",NA,"high-income"
"0287","yes","low-income"
"0288","yes","high-income"
"0289","no","low-income"
"0290",NA,"high-income"
"0291","no","high-income"
"0292",NA,"low-income"
"0293","yes","high-income"
"0294","yes","low-income"
"0295","yes","high-income"
"0296","no","low-income"
"0297",NA,"low-income"
"0298",NA,"high-income"
"0299","no","low-income"
"0300","yes","high-income"
"0301","yes","high-income"
"0302","no","low-income"
"0303","yes","low-income"
"0304",NA,"high-income"
"0305",NA,"high-income"
"0306",NA,"high-income"
"0307","yes","high-income"
"0308","no","low-income"
"0309","no","high-income"
"0310",NA,"low-income"
"0311","yes","low-income"
"0312",NA,"low-income"
"0313","no","high-income"
"0314",NA,"low-income"
"0315","no","high-income"
"0316",NA,"low-income"
"0317",NA,"low-income"
"0318",NA,"high-income"
"0319",NA,"high-income"
"0320",NA,"low-income"
"0321",NA,"high-income"
"0322","no","low-income"
"0323","yes","low-income"
"0324",NA,"low-income"
"0325",NA,"low-income"
"0326",NA,"low-income"
"0327",NA,"low-income"
"0328",NA,"high-income"
"0329","yes","high-income"
"0330","yes","low-income"
"0331","yes","high-income"
"0332",NA,"high-income"
"0333",NA,"high-income"
"0334","no","high-income"
"0335","yes","low-income"
"0336","no","high-income"
"0337","no","high-income"
"0338","yes","low-income"
"0339","yes","high-income"
"0340","no","high-income"
"0341",NA,"low-income"
"0342","no","high-income"
"0343",NA,"low-income"
"0344","yes","high-income"
"0345",NA,"low-income"
"0346",NA,"low-income"
"0347","no","high-income"
"0348",NA,"high-income"
"0349",NA,"high-income"
"0350","no","low-income"
"0351",NA,"low-income"
"0352","yes","low-income"
"0353","yes","high-income"
"0354","no","low-income"
"0355",NA,"low-income"
"0356","no","high-income"
"0357","yes","low-income"
"0358",NA,"low-income"
"0359","yes","high-income"
"0360","no","low-income"
"0361","no","low-income"
"0362",NA,"high-income"
"0363",NA,"low-income"
"0364","no","low-income"
"0365","yes","high-income"
"0366",NA,"low-income"
"0367","no","high-income"
"0368",NA,"high-income"
"0369",NA,"low-income"
"0370",NA,"high-income"
"0371","yes","high-income"
"0372",NA,"low-income"
"0373","no","high-income"
"0374","no","high-income"
"0375","yes","high-income"
"0376",NA,"high-income"
"0377","yes","low-income"
"0378","no","high-income"
"0379","yes","high-income"
"0380","no","high-income"
"0381","yes","low-income"
"0382","yes","low-income"
"0383",NA,"high-income"
"0384",NA,"low-income"
"0385","no","high-income"
"0386","no","high-income"
"0387",NA,"low-income"
"0388","yes","high-income"
"0389","yes","high-income"
"0390",NA,"high-income"
"0391",NA,"high-income"
"0392",NA,"high-income"
"0393","no","high-income"
"0394",NA,"low-income"
"0395",NA,"low-income"
"0396","yes","low-income"
"0397",NA,"high-income"
"0398",NA,"high-income"
"0399",NA,"high-income"
"0400",NA,"high-income"
"0401",NA,"high-income"
"0402","no","low-income"
"0403",NA,"high-income"
"0404",NA,"high-income"
"0405","no","high-income"
"0406",NA,"high-income"
"0407",NA,"low-income"
"0408",NA,"high-income"
"0409",NA,"high-income"
"0410","no","high-income"
"0411","no","low-income"
"0412",NA,"high-income"
"0413",NA,"high-income"
"0414","yes","high-income"
"0415","no","low-income"
"0416","yes","high-income"
"0417",NA,"high-income"
"0418",NA,"low-income"
"0419","yes","low-income"
"0420","yes","low-income"
"0421","yes","low-income"
"0422","no","high-income"
"0423",NA,"low-income"
"0424","yes","low-income"
"0425","no","high-income"
"0426",NA,"high-income"
"0427","no","low-income"
"0428",NA,"high-income"
"0429","no","low-income"
"0430","yes","high-income"
"0431",NA,"low-income"
"0432",NA,"low-income"
"0433","no","low-income"
"0434","no","low-income"
"0435","yes","high-income"
"0436",NA,"high-income"
"0437",NA,"high-income"
"0438","no","high-income"
"0439","no","high-income"
"0440","yes","low-income"
"0441","no","high-income"
"0442",NA,"high-income"
"0443",NA,"high-income"
"0444",NA,"low-income"
"0445","no","high-income"
"0446",NA,"high-income"
"0447","yes","high-income"
"0448","yes","low-income"
"0449","yes","low-income"
"0450","yes","low-income"
"0451","yes","low-income"
"0452",NA,"high-income"
"0453",NA,"high-income"
"0454","no","high-income"
"0455","yes","low-income"
"0456",NA,"high-income"
"0457",NA,"high-income"
"0458","yes","high-income"
"0459","no","high-income"
"0460",NA,"high-income"
"0461",NA,"high-income"
"0462",NA,"high-income"
"0463",NA,"low-income"
"0464",NA,"low-income"
"0465","no","low-income"
"0466",NA,"high-income"
"0467","yes","low-income"
"0468","yes","high-income"
"0469","yes","low-income"
"0470",NA,"low-income"
"0471",NA,"low-income"
"0472","no","low-income"
"0473","no","high-income"
"0474","no","high-income"
"0475",NA,"low-income"
"0476","yes","high-income"
"0477",NA,"low-income"
"0478","no","high-income"
"0479","no","low-income"
"0480","no","high-income"
"0481",NA,"low-income"
"0482","no","high-income"
"0483","no","high-income"
"0484","yes","low-income"
"0485",NA,"low-income"
"0486","no","high-income"
"0487","no","high-income"
"0488",NA,"low-income"
"0489",NA,"low-income"
"0490","yes","low-income"
"0491","yes","low-income"
"0492",NA,"high-income"
"0493","yes","low-income"
"0494",NA,"high-income"
"0495","no","high-income"
"0496",NA,"high-income"
"0497","yes","low-income"
"0498",NA,"high-income"
"0499",NA,"high-income"
"0500","no","high-income"
"0501",NA,"low-income"
"0502","yes","low-income"
"0503",NA,"low-income"
"0504",NA,"high-income"
"0505",NA,"low-income"
"0506",NA,"high-income"
"0507",NA,"high-income"
"0508",NA,"low-income"
"0509",NA,"low-income"
"0510",NA,"low-income"
"0511","yes","high-income"
"0512","no","high-income"
"0513",NA,"low-income"
"0514",NA,"low-income"
"0515","yes","high-income"
"0516",NA,"low-income"
"0517","yes","high-income"
"0518",NA,"low-income"
"0519","no","high-income"
"0520","no","low-income"
"0521","no","low-income"
"0522",NA,"high-income"
"0523","no","low-income"
"0524","no","low-income"
"0525",NA,"low-income"
"0526",NA,"high-income"
"0527",NA,"low-income"
"0528",NA,"low-income"
"0529","yes","low-income"
"0530","no","high-income"
"0531","no","high-income"
"0532",NA,"low-income"
"0533",NA,"low-income"
"0534",NA,"low-income"
"0535","no","high-income"
"0536",NA,"high-income"
"0537",NA,"low-income"
"0538",NA,"high-income"
"0539",NA,"high-income"
"0540",NA,"high-income"
"0541",NA,"high-income"
"0542","yes","high-income"
"0543","yes","low-income"
"0544",NA,"high-income"
"0545","yes","low-income"
"0546","yes","low-income"
"0547","no","low-income"
"0548",NA,"low-income"
"0549",NA,"high-income"
"0550","no","low-income"
"0551",NA,"high-income"
"0552",NA,"high-income"
"0553",NA,"high-income"
"0554",NA,"low-income"
"0555",NA,"high-income"
"0556",NA,"high-income"
"0557","no","low-income"
"0558",NA,"high-income"
"0559","no","low-income"
"0560",NA,"low-income"
"0561",NA,"low-income"
"0562",NA,"low-income"
"0563","yes","low-income"
"0564",NA,"low-income"
"0565","no","low-income"
"0566",NA,"high-income"
"0567",NA,"low-income"
"0568","no","high-income"
"0569","yes","low-income"
"0570","no","low-income"
"0571",NA,"low-income"
"0572",NA,"high-income"
"0573",NA,"high-income"
"0574","yes","low-income"
"0575","yes","low-income"
"0576",NA,"low-income"
"0577","no","low-income"
"0578",NA,"low-income"
"0579",NA,"low-income"
"0580",NA,"low-income"
"0581","yes","high-income"
"0582",NA,"low-income"
"0583",NA,"high-income"
"0584",NA,"high-income"
"0585",NA,"low-income"
"0586","no","low-income"
"0587","yes","low-income"
"0588",NA,"low-income"
"0589","no","high-income"
"0590",NA,"low-income"
"0591",NA,"low-income"
"0592","yes","low-income"
"0593","yes","low-income"
"0594",NA,"high-income"
"0595",NA,"low-income"
"0596",NA,"high-income"
"0597",NA,"low-income"
"0598",NA,"low-income"
"0599","yes","high-income"
"0600","yes","high-income"
"0601",NA,"low-income"
"0602",NA,"low-income"
"0603",NA,"high-income"
"0604",NA,"high-income"
"0605","no","high-income"
"0606","no","low-income"
"0607",NA,"high-income"
"0608",NA,"low-income"
"0609","yes","low-income"
"0610","yes","low-income"
"0611",NA,"low-income"
"0612",NA,"low-income"
"0613","yes","high-income"
"0614",NA,"high-income"
"0615",NA,"high-income"
"0616","yes","high-income"
"0617","no","high-income"
"0618",NA,"high-income"
"0619",NA,"high-income"
"0620","yes","low-income"
"0621",NA,"low-income"
"0622",NA,"high-income"
"0623",NA,"low-income"
"0624","no","high-income"
"0625","no","low-income"
"0626",NA,"low-income"
"0627","no","low-income"
"0628","no","high-income"
"0629","no","low-income"
"0630",NA,"high-income"
"0631","no","low-income"
"0632",NA,"low-income"
"0633",NA,"high-income"
"0634",NA,"high-income"
"0635",NA,"low-income"
"0636","yes","low-income"
"0637","no","low-income"
"0638","no","low-income"
"0639","no","high-income"
"0640",NA,"low-income"
"0641","yes","high-income"
"0642","no","high-income"
"0643",NA,"high-income"
"0644",NA,"high-income"
"0645",NA,"low-income"
"0646","no","low-income"
"0647","no","low-income"
"0648","no","high-income"
"0649","no","high-income"
"0650","yes","low-income"
"0651",NA,"high-income"
"0652","no","high-income"
"0653",NA,"high-income"
"0654","no","high-income"
"0655","no","low-income"
"0656",NA,"low-income"
"0657","yes","low-income"
"0658","yes","low-income"
"0659","yes","high-income"
"0660",NA,"low-income"
"0661",NA,"low-income"
"0662","yes","high-income"
"0663",NA,"low-income"
"0664","yes","high-income"
"0665",NA,"high-income"
"0666","yes","low-income"
"0667",NA,"low-income"
"0668",NA,"high-income"
"0669",NA,"high-income"
"0670","yes","low-income"
"0671","yes","low-income"
"0672","yes","high-income"
"0673",NA,"low-income"
"0674",NA,"low-income"
"0675",NA,"high-income"
"0676","yes","high-income"
"0677",NA,"low-income"
"0678","yes","high-income"
"0679",NA,"low-income"
"0680","no","low-income"
"0681",NA,"high-income"
"0682",NA,"low-income"
"0683",NA,"low-income"
"0684","yes","high-income"
"0685","no","low-income"
"0686",NA,"low-income"
"0687",NA,"high-income"
"0688","no","high-income"
"0689","no","high-income"
"0690",NA,"high-income"
"0691",NA,"high-income"
"0692","yes","high-income"
"0693",NA,"low-income"
"0694","yes","low-income"
"0695","yes","high-income"
"0696","no","high-income"
"0697","no","low-income"
"0698","yes","high-income"
"0699",NA,"low-income"
"0700",NA,"low-income"
"0701",NA,"high-income"
"0702",NA,"low-income"
"0703",NA,"low-income"
"0704",NA,"high-income"
"0705","no","low-income"
"0706","no","high-income"
"0707",NA,"high-income"
"0708",NA,"low-income"
"0709",NA,"low-income"
"0710","yes","low-income"
"0711",NA,"high-income"
"0712","no","low-income"
"0713","no","low-income"
"0714","no","low-income"
"0715","yes","high-income"
"0716","no","low-income"
"0717","no","low-income"
"0718","yes","low-income"
"0719",NA,"low-income"
"0720","yes","high-income"
"0721",NA,"low-income"
"0722",NA,"low-income"
"0723",NA,"low-income"
"0724",NA,"low-income"
"0725",NA,"low-income"
"0726",NA,"high-income"
"0727","no","high-income"
"0728",NA,"high-income"
"0729","yes","low-income"
"0730","yes","high-income"
"0731","yes","low-income"
"0732","yes","low-income"
"0733",NA,"low-income"
"0734",NA,"low-income"
"0735","no","low-income"
"0736","no","high-income"
"0737","yes","high-income"
"0738",NA,"high-income"
"0739","no","low-income"
"0740",NA,"high-income"
"0741","no","high-income"
"0742","no","high-income"
"0743",NA,"low-income"
"0744",NA,"high-income"
"0745","yes","low-income"
"0746","no","high-income"
"0747","no","low-income"
"0748","no","high-income"
"0749",NA,"high-income"
"0750",NA,"low-income"
"0751","no","low-income"
"0752","no","high-income"
"0753",NA,"low-income"
"0754",NA,"high-income"
"0755",NA,"high-income"
"0756","yes","high-income"
"0757",NA,"high-income"
"0758",NA,"high-income"
"0759","no","low-income"
"0760",NA,"high-income"
"0761",NA,"high-income"
"0762","yes","low-income"
"0763","yes","low-income"
"0764","no","low-income"
"0765",NA,"low-income"
"0766","yes","low-income"
"0767","no","high-income"
"0768","no","high-income"
"0769",NA,"low-income"
"0770","yes","low-income"
"0771","no","low-income"
"0772","no","low-income"
"0773","no","low-income"
"0774","no","low-income"
"0775","no","high-income"
"0776",NA,"high-income"
"0777",NA,"low-income"
"0778",NA,"high-income"
"0779",NA,"low-income"
"0780",NA,"low-income"
"0781","no","low-income"
"0782","yes","low-income"
"0783",NA,"high-income"
"0784",NA,"high-income"
"0785","yes","low-income"
"0786","yes","low-income"
"0787","no","high-income"
"0788","no","low-income"
"0789",NA,"low-income"
"0790","no","low-income"
"0791","yes","high-income"
"0792","no","high-income"
"0793","yes","low-income"
"0794",NA,"high-income"
"0795",NA,"high-income"
"0796",NA,"high-income"
"0797",NA,"high-income"
"0798","yes","low-income"
"0799",NA,"low-income"
"0800",NA,"high-income"
"0801",NA,"high-income"
"0802","no","high-income"
"0803","yes","low-income"
"0804","no","high-income"
"0805","no","high-income"
"0806",NA,"low-income"
"0807","yes","low-income"
"0808",NA,"high-income"
"0809","no","high-income"
"0810",NA,"high-income"
"0811",NA,"high-income"
"0812",NA,"low-income"
"0813",NA,"low-income"
"0814",NA,"high-income"
"0815",NA,"low-income"
"0816",NA,"low-income"
"0817",NA,"low-income"
"0818","no","high-income"
"0819","no","high-income"
"0820",NA,"low-income"
"0821","yes","high-income"
"0822",NA,"high-income"
"0823","yes","high-income"
"0824","no","high-income"
"0825","no","high-income"
"0826",NA,"low-income"
"0827","no","low-income"
"0828",NA,"low-income"
"0829","no","high-income"
"0830","yes","low-income"
"0831",NA,"low-income"
"0832",NA,"low-income"
"0833",NA,"low-income"
"0834","no","high-income"
"0835",NA,"high-income"
"0836",NA,"high-income"
"0837","yes","high-income"
"0838",NA,"low-income"
"0839","yes","high-income"
"0840",NA,"low-income"
"0841",NA,"high-income"
"0842","yes","low-income"
"0843",NA,"low-income"
"0844","yes","high-income"
"0845","no","high-income"
"0846",NA,"high-income"
"0847",NA,"high-income"
"0848",NA,"low-income"
"0849",NA,"high-income"
"0850","no","high-income"
"0851","no","low-income"
"0852","yes","low-income"
"0853","yes","low-income"
"0854",NA,"low-income"
"0855",NA,"low-income"
"0856",NA,"high-income"
"0857","yes","low-income"
"0858",NA,"high-income"
"0859",NA,"low-income"
"0860","no","high-income"
"0861",NA,"high-income"
"0862","yes","high-income"
"0863",NA,"low-income"
"0864",NA,"high-income"
"0865",NA,"low-income"
"0866","no","high-income"
"0867",NA,"high-income"
"0868","yes","low-income"
"0869","no","low-income"
"0870","yes","low-income"
"0871",NA,"high-income"
"0872","no","low-income"
"0873","yes","low-income"
"0874",NA,"high-income"
"0875","no","high-income"
"0876","no","high-income"
"0877","yes","low-income"
"0878",NA,"low-income"
"0879",NA,"high-income"
"0880","no","high-income"
"0881","yes","low-income"
"0882","yes","low-income"
"0883",NA,"low-income"
"0884","no","low-income"
"0885",NA,"low-income"
"0886",NA,"low-income"
"0887",NA,"high-income"
"0888","no","high-income"
"0889","no","high-income"
"0890",NA,"high-income"
"0891",NA,"low-income"
"0892",NA,"low-income"
"0893","no","high-income"
"0894",NA,"low-income"
"0895",NA,"high-income"
"0896",NA,"low-income"
"0897",NA,"high-income"
"0898",NA,"high-income"
"0899","yes","low-income"
"0900",NA,"low-income"
"0901",NA,"low-income"
"0902",NA,"low-income"
"0903","yes","low-income"
"0904",NA,"low-income"
"0905","yes","high-income"
"0906","yes","low-income"
"0907",NA,"low-income"
"0908","no","low-income"
"0909",NA,"low-income"
"0910",NA,"low-income"
"0911","no","low-income"
"0912","yes","high-income"
"0913","no","high-income"
"0914","yes","low-income"
"0915","no","low-income"
"0916",NA,"low-income"
"0917",NA,"high-income"
"0918",NA,"high-income"
"0919",NA,"high-income"
"0920",NA,"high-income"
"0921",NA,"high-income"
"0922","no","low-income"
"0923",NA,"low-income"
"0924","yes","high-income"
"0925",NA,"low-income"
"0926",NA,"high-income"
"0927","yes","high-income"
"0928",NA,"high-income"
"0929","no","high-income"
"0930",NA,"low-income"
"0931",NA,"high-income"
"0932",NA,"low-income"
"0933","no","low-income"
"0934","no","high-income"
"0935",NA,"high-income"
"0936","yes","low-income"
"0937","no","low-income"
"0938","yes","low-income"
"0939",NA,"high-income"
"0940","yes","low-income"
"0941",NA,"high-income"
"0942","no","low-income"
"0943","yes","low-income"
"0944","no","high-income"
"0945","yes","low-income"
"0946","no","low-income"
"0947",NA,"low-income"
"0948",NA,"low-income"
"0949",NA,"low-income"
"0950","no","high-income"
"0951","no","high-income"
"0952",NA,"high-income"
"0953",NA,"high-income"
"0954",NA,"low-income"
"0955",NA,"high-income"
"0956","yes","low-income"
"0957",NA,"high-income"
"0958","yes","low-income"
"0959","no","high-income"
"0960",NA,"low-income"
"0961",NA,"low-income"
"0962",NA,"low-income"
"0963","yes","low-income"
"0964",NA,"high-income"
"0965",NA,"low-income"
"0966",NA,"high-income"
"0967","no","high-income"
"0968","no","low-income"
"0969","yes","low-income"
"0970","no","low-income"
"0971",NA,"low-income"
"0972",NA,"low-income"
"0973",NA,"low-income"
"0974",NA,"low-income"
"0975",NA,"low-income"
"0976",NA,"high-income"
"0977",NA,"high-income"
"0978",NA,"high-income"
"0979","yes","high-income"
"0980",NA,"low-income"
"0981",NA,"low-income"
"0982","yes","high-income"
"0983",NA,"low-income"
"0984","yes","high-income"
"0985",NA,"low-income"
"0986",NA,"low-income"
"0987",NA,"high-income"
"0988",NA,"low-income"
"0989",NA,"high-income"
"0990","no","high-income"
"0991",NA,"low-income"
"0992","no","high-income"
"0993","no","low-income"
"0994","no","low-income"
"0995",NA,"high-income"
"0996","yes","low-income"
"0997","yes","low-income"
"0998",NA,"high-income"
"0999",NA,"high-income"
"1000","yes","low-income"
"1001",NA,"low-income"
"1002",NA,"low-income"
"1003","no","low-income"
"1004",NA,"low-income"
"1005",NA,"high-income"
"1006",NA,"low-income"
"1007",NA,"low-income"
"1008",NA,"low-income"
"1009",NA,"low-income"
"1010","yes","high-income"
"1011","yes","high-income"
"1012",NA,"high-income"
"1013",NA,"high-income"
"1014",NA,"high-income"
"1015","yes","high-income"
"1016","yes","high-income"
"1017","yes","low-income"
"1018","yes","high-income"
"1019","yes","high-income"
"1020",NA,"low-income"
"1021","yes","low-income"
"1022","yes","low-income"
"1023","no","high-income"
"1024","no","low-income"
"1025",NA,"high-income"
"1026","no","low-income"
"1027",NA,"high-income"
"1028",NA,"low-income"
"1029",NA,"high-income"
"1030",NA,"high-income"
"1031","yes","high-income"
"1032",NA,"high-income"
"1033","no","high-income"
"1034",NA,"low-income"
"1035",NA,"low-income"
"1036","yes","low-income"
"1037","no","high-income"
"1038",NA,"low-income"
"1039",NA,"high-income"
"1040",NA,"high-income"
"1041","yes","low-income"
"1042","no","low-income"
"1043","no","low-income"
"1044","no","low-income"
"1045","no","high-income"
"1046",NA,"high-income"
"1047",NA,"high-income"
"1048",NA,"low-income"
"1049",NA,"low-income"
"1050",NA,"high-income"
"1051",NA,"low-income"
"1052",NA,"high-income"
"1053",NA,"high-income"
"1054",NA,"high-income"
"1055","no","high-income"
"1056","no","high-income"
"1057","yes","high-income"
"1058","yes","high-income"
"1059",NA,"high-income"
"1060",NA,"high-income"
"1061",NA,"low-income"
"1062","no","high-income"
"1063","yes","high-income"
"1064",NA,"low-income"
"1065",NA,"low-income"
"1066","no","high-income"
"1067","no","low-income"
"1068","no","low-income"
"1069","yes","low-income"
"1070","no","high-income"
"1071",NA,"low-income"
"1072","yes","high-income"
"1073","no","low-income"
"1074","no","high-income"
"1075",NA,"low-income"
"1076",NA,"high-income"
"1077",NA,"low-income"
"1078","no","low-income"
"1079","yes","high-income"
"1080",NA,"low-income"
"1081",NA,"low-income"
"1082","yes","low-income"
"1083","no","low-income"
"1084",NA,"low-income"
"1085",NA,"low-income"
"1086","yes","low-income"
"1087",NA,"high-income"
"1088",NA,"high-income"
"1089","yes","high-income"
"1090",NA,"low-income"
"1091","yes","low-income"
"1092","yes","low-income"
"1093",NA,"low-income"
"1094",NA,"high-income"
"1095","yes","high-income"
"1096","yes","high-income"
"1097",NA,"low-income"
"1098","yes","low-income"
"1099",NA,"high-income"
"1100","yes","high-income"
"1101","no","low-income"
"1102","yes","high-income"
"1103","yes","high-income"
"1104",NA,"high-income"
"1105",NA,"low-income"
"1106","no","low-income"
"1107","no","low-income"
"1108","yes","low-income"
"1109",NA,"low-income"
"1110",NA,"high-income"
"1111",NA,"high-income"
"1112","yes","low-income"
"1113","yes","high-income"
"1114","no","low-income"
"1115",NA,"high-income"
"1116","no","low-income"
"1117","yes","high-income"
"1118","no","low-income"
"1119","no","high-income"
"1120","no","high-income"
"1121",NA,"low-income"
"1122",NA,"low-income"
"1123",NA,"high-income"
"1124","no","high-income"
"1125","no","low-income"
"1126",NA,"high-income"
"1127",NA,"low-income"
"1128","yes","low-income"
"1129",NA,"low-income"
"1130","no","low-income"
"1131",NA,"high-income"
"1132",NA,"high-income"
"1133","yes","high-income"
"1134",NA,"low-income"
"1135","yes","low-income"
"1136",NA,"low-income"
"1137",NA,"low-income"
"1138",NA,"low-income"
