"idnum","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1"
"0037",NA,7,NA,"Just enough","Male","Yes","At least one parent attended college","black","black","Yes","No",NA,21,NA
"0038",7,7,"Just enough","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","No",29,34
"0039",NA,NA,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,30,NA
"0040",1,1,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",20,21
"0041",6,4,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",26,27
"0042",NA,5,NA,"Not enough","Female","No","Neither parent attended college","hispanic","hispanic","No","No",NA,21,NA
"0043",NA,6,NA,"Some","Female","No","At least one parent attended college","black","black","No","No",NA,20,NA
"0044",NA,2,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,19,NA
"0045",NA,5,NA,"Just enough","Male","Yes","At least one parent attended college","hispanic","hispanic",NA,"No",NA,37,NA
"0046",3,6,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",20,25
"0047",6,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",21,21
"0048",NA,3,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,17,NA
"0049",8,8,"Some","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",28,30
"0050",NA,7,NA,"Some","Female","No","At least one parent attended college","white",NA,NA,"No",NA,39,NA
"0051",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",31,43
"0052",NA,2,NA,"Not enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,21,NA
"0053",8,4,"Just enough","Some","Male","No","At least one parent attended college","white","black","No","No","No",25,32
"0054",9,9,"Some",NA,"Male","No","At least one parent attended college","white","white",NA,"No","No",37,46
"0055",5,3,"Some",NA,"Female","No","At least one parent attended college",NA,NA,NA,NA,"No",30,38
"0056",NA,NA,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",19,21
"0057",NA,1,NA,"Some","Female","No","Neither parent attended college","black","black","No","No",NA,19,NA
"0058",8,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",27,29
"0059",NA,NA,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic","No",NA,"Yes",16,25
"0060",4,6,"Just enough","Some","Male","No","Neither parent attended college",NA,NA,NA,"No","No",18,21
"0061",5,4,"Just enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",25,27
"0062",1,1,"Not enough","Just enough","Female","Yes","At least one parent attended college","black","black","Yes","No","No",23,26
"0063",NA,5,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,22,NA
"0064",3,1,"Just enough","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",26,31
"0065",NA,1,"Not enough",NA,"Female","Yes","Neither parent attended college","black","black",NA,"No","No",18,19
"0066",9,9,"Some","Some","Male","No","At least one parent attended college",NA,NA,NA,"No","No",29,30
"0067",1,1,"Not enough","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",32,35
"0068",2,3,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",20,21
"0069",NA,7,NA,NA,"Male","No","At least one parent attended college",NA,"white",NA,NA,NA,41,NA
"0070",8,8,"Not enough","Some","Male","No","Neither parent attended college","hispanic","white",NA,"No","No",35,35
"0071",NA,NA,NA,"Some","Male","Yes","Neither parent attended college","white","hispanic",NA,"No",NA,20,NA
"0072",NA,7,"Some","Not enough","Female","No","At least one parent attended college","black","black",NA,"No","No",26,29
"0073",NA,2,NA,"Some","Male","No","Neither parent attended college","hispanic","white","No","No",NA,27,NA
"0074",8,NA,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",26,29
"0075",NA,4,"Just enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic","No","No","No",21,19
"0076",NA,4,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",41,33
"0077",NA,6,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",20,21
"0078",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,24,NA
"0079",6,NA,"Not enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",18,18
"0080",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",32,39
"0081",NA,NA,"Some","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,20
"0082",6,NA,"Just enough","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",28,32
"0083",NA,4,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,19,NA
"0084",NA,1,"Not enough","Not enough","Female","No","Neither parent attended college","black","black","No","No","No",37,50
"0085",5,4,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",31,32
"0086",NA,1,NA,NA,"Female",NA,"Neither parent attended college","black",NA,NA,"No",NA,29,NA
"0087",NA,NA,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,24,NA
"0088",4,NA,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",22,31
"0089",5,5,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",23,20
"0090",6,1,"Some","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",21,23
"0091",3,7,"Not enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",24,21
"0092",4,4,"Not enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",32,36
"0093",2,4,"Just enough","Some","Female","No","At least one parent attended college","hispanic",NA,NA,"No","No",28,29
"0094",NA,5,NA,"Some","Male",NA,"Neither parent attended college","black","black",NA,"No",NA,24,NA
"0095",NA,6,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",19,34
"0096",NA,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",18,18
"0097",2,NA,"Not enough","Not enough","Male","No","At least one parent attended college","black","black",NA,"No","No",27,21
"0098",NA,6,NA,"Just enough","Male","No","Neither parent attended college","black","black","No","No",NA,28,NA
"0099",7,8,"Not enough","Some","Female","No","At least one parent attended college","black","black","No","No","No",25,22
"0100",6,8,"Some","Some","Male","No","Neither parent attended college","white","white",NA,"No","No",19,19
"0101",NA,NA,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",28,34
"0102",NA,NA,"Not enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",21,22
"0103",7,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","hispanic",NA,"No","No",28,36
"0104",1,1,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",25,38
"0105",NA,1,"Just enough","Some","Female","No","Neither parent attended college","black","hispanic","No","No","No",24,29
"0106",5,6,"Just enough",NA,"Male","No","At least one parent attended college","hispanic","hispanic",NA,NA,"Yes",21,26
"0107",NA,6,"Some",NA,"Male","No","Neither parent attended college","black","black","Yes",NA,"No",23,24
"0108",9,9,"Some","Some","Male","No","At least one parent attended college",NA,"white",NA,"No",NA,32,32
"0109",7,NA,"Some","Some","Female","No","Neither parent attended college","black","black","Yes","No","No",20,20
"0110",NA,7,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,20,NA
"0111",NA,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",17,26
"0112",5,NA,"Just enough",NA,"Female","No","Neither parent attended college","black","black",NA,NA,"No",18,17
"0113",5,3,"Just enough","Just enough","Male","No","At least one parent attended college","hispanic",NA,"Yes","No","No",19,21
"0114",5,1,"Just enough","Some","Female","No","Neither parent attended college","black","black","Yes","No","No",26,23
"0115",NA,6,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",41,41
"0116",2,1,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",24,28
"0117",7,4,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",27,26
"0118",3,1,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",23,27
"0119",3,2,"Just enough","Not enough","Male","No","At least one parent attended college","black","black","Yes","No","No",24,19
"0120",7,8,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",39,34
"0121",NA,NA,NA,"Some","Female","No","Neither parent attended college","black","black",NA,"No",NA,29,NA
"0122",NA,5,"Some","Just enough","Female","No","At least one parent attended college",NA,"black","No","No","No",33,37
"0123",NA,NA,"Not enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",18,19
"0124",NA,NA,"Some","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",18,18
"0125",8,8,"Just enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",32,34
"0126",NA,6,NA,"Not enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,21,NA
"0127",NA,NA,NA,"Not enough","Male","No","Neither parent attended college","hispanic","hispanic","Yes","Yes",NA,26,NA
"0128",NA,8,"Some","Just enough","Female","Yes","Neither parent attended college","black","black","Yes","No","No",32,40
"0129",7,3,"Some","Not enough","Male","No","Neither parent attended college","black","black","Yes","No","No",30,31
"0130",7,7,"Just enough","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",24,22
"0131",NA,1,NA,"Just enough","Female","No","Neither parent attended college","black","black","Yes","No",NA,22,NA
"0132",3,NA,"Just enough",NA,"Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",21,23
"0133",NA,NA,NA,"Not enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,25,NA
"0134",7,7,"Some",NA,"Female","No","At least one parent attended college","black","black",NA,NA,"No",27,30
"0135",NA,8,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",26,29
"0136",NA,7,NA,"Some","Male","No","At least one parent attended college","black","black","No","No",NA,26,NA
"0137",NA,8,NA,"Some","Male","No","At least one parent attended college","white","white",NA,"No",NA,32,NA
"0138",9,8,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",32,30
"0139",3,2,"Some","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",20,21
"0140",NA,1,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",19,19
"0141",9,9,"Some",NA,"Male","No","At least one parent attended college","white","white",NA,NA,"No",32,36
"0142",NA,1,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,19,NA
"0143",5,2,"Just enough",NA,"Female","No","At least one parent attended college","black","black",NA,NA,"No",37,43
"0144",NA,NA,NA,"Some","Male","No","Neither parent attended college","hispanic",NA,NA,"No",NA,19,NA
"0145",9,8,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",28,28
"0146",7,7,"Some",NA,"Female","No","At least one parent attended college","white","white",NA,"No","No",31,29
"0147",7,2,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",24,21
"0148",1,1,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",22,19
"0149",3,3,"Some",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",27,28
"0150",6,7,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",21,24
"0151",5,NA,"Some","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",21,23
"0152",NA,2,NA,"Just enough","Female","No","Neither parent attended college","black","black","No","No",NA,21,NA
"0153",NA,7,NA,"Just enough","Female","No","Neither parent attended college","black","black","No","No",NA,20,NA
"0154",8,9,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",21,26
"0155",NA,9,"Just enough","Some","Male","No","At least one parent attended college",NA,NA,NA,"No","No",32,32
"0156",3,NA,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",21,27
"0157",8,8,"Just enough","Some","Female","No","At least one parent attended college",NA,"hispanic",NA,"No","No",28,29
"0158",NA,NA,"Some","Some","Male","No","At least one parent attended college","hispanic","white",NA,"No","No",21,33
"0159",1,2,"Not enough","Just enough","Male","Yes","Neither parent attended college","black","black","Yes","No","No",18,21
"0160",4,1,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",20,20
"0161",1,1,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",20,18
"0162",NA,NA,"Some","Just enough","Male","Yes","Neither parent attended college","black","black","Yes","No","No",23,19
"0163",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,40,NA
"0164",NA,NA,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",22,29
"0165",NA,3,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",43,46
"0166",NA,NA,NA,"Not enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,23,NA
"0167",NA,NA,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic","No","Yes","Yes",31,29
"0168",6,6,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",21,19
"0169",5,6,"Just enough","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",25,30
"0170",5,4,"Just enough","Just enough","Male","No","At least one parent attended college","white","black",NA,"No","No",24,25
"0171",7,6,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",36,37
"0172",3,4,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",31,29
"0173",NA,4,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"No",23,23
"0174",9,9,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",34,40
"0175",8,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",38,36
"0176",9,3,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",23,28
"0177",1,NA,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",20,19
"0178",3,4,"Some",NA,"Male","No","At least one parent attended college","black","black",NA,NA,"No",20,21
"0179",NA,7,NA,NA,"Female","No","At least one parent attended college","black","black","No","No",NA,19,NA
"0180",4,3,"Some","Not enough","Female","No","At least one parent attended college","white","hispanic",NA,"No","No",26,28
"0181",7,5,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",30,36
"0182",4,2,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",32,33
"0183",2,2,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",23,29
"0184",NA,5,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,25,NA
"0185",NA,3,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,24,NA
"0186",9,9,"Some",NA,"Female","No","At least one parent attended college","white","white",NA,"No","No",37,39
"0187",6,8,"Just enough","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",31,30
"0188",NA,9,NA,"Some","Male","No","At least one parent attended college","black",NA,"Yes","No",NA,23,NA
"0189",6,4,"Just enough","Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",21,31
"0190",7,7,"Some","Just enough","Female","No","At least one parent attended college",NA,"white",NA,"No","No",28,30
"0191",NA,6,"Some",NA,"Male","No","At least one parent attended college","black","black",NA,NA,"No",25,25
"0192",4,NA,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",22,21
"0193",3,3,"Just enough",NA,"Female","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","Yes",23,26
"0194",NA,7,NA,"Some","Male","No","At least one parent attended college","black","white",NA,"No",NA,27,NA
"0195",NA,NA,NA,"Not enough","Female","No","Neither parent attended college","black","black","Yes","No",NA,29,NA
"0196",7,4,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",21,21
"0197",7,7,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",24,35
"0198",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",35,43
"0199",6,NA,"Just enough","Not enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",21,22
"0200",5,4,"Not enough","Not enough","Female","No","Neither parent attended college","black","black",NA,"No","No",26,34
"0201",3,1,"Some","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","Yes",24,24
"0202",7,8,"Just enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",41,43
"0203",NA,NA,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",21,32
"0204",6,4,"Just enough","Just enough","Male","No","Neither parent attended college","white","black",NA,"No","No",19,36
"0205",9,2,"Just enough",NA,"Female","No","Neither parent attended college","black","black",NA,NA,"Yes",21,28
"0206",NA,2,NA,"Not enough","Male",NA,"Neither parent attended college","black","black",NA,"No",NA,35,NA
"0207",7,7,"Some",NA,"Female","No","At least one parent attended college","white","hispanic",NA,"No","No",33,25
"0208",NA,9,NA,"Not enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,18,NA
"0209",2,1,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",25,23
"0210",NA,NA,NA,"Some","Male","No","At least one parent attended college","black","black","Yes","No",NA,19,NA
"0211",NA,2,"Some","Just enough","Male","No","Neither parent attended college","hispanic","black",NA,"No","No",22,26
"0212",NA,3,NA,"Not enough","Male","No","Neither parent attended college","white","white",NA,"No",NA,20,NA
"0213",2,6,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",23,25
"0214",NA,NA,"Not enough","Not enough","Male","Yes","Neither parent attended college","black","black","Yes","No","No",22,30
"0215",NA,NA,NA,"Some","Male","No","Neither parent attended college","black","black","Yes","No",NA,31,NA
"0216",3,3,"Some","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",27,25
"0217",7,8,"Some","Some","Male","No","At least one parent attended college","black","black","No","No","No",28,28
"0218",7,NA,"Just enough","Some","Male","No","Neither parent attended college","black","hispanic",NA,"No","No",29,30
"0219",NA,1,"Just enough","Not enough","Female","No","Neither parent attended college","black","black",NA,"No","No",32,33
"0220",6,6,"Some",NA,"Female","No","At least one parent attended college","black","black",NA,NA,"No",24,26
"0221",4,4,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",28,30
"0222",NA,8,"Just enough","Some","Female","No","At least one parent attended college","black","black","Yes","No","No",24,21
"0223",8,8,"Some","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",25,26
"0224",NA,NA,NA,"Not enough","Male","No","Neither parent attended college","hispanic","black","No","No",NA,22,NA
"0225",5,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",25,30
"0226",NA,NA,"Some","Some","Male","No","At least one parent attended college","black","hispanic","No","No","No",18,17
"0227",6,7,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",19,21
"0228",8,8,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",29,27
"0229",NA,2,NA,"Just enough","Female",NA,"Neither parent attended college","hispanic",NA,NA,"No",NA,22,NA
"0230",9,8,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",25,25
"0231",NA,4,NA,"Some","Male","No","At least one parent attended college","black","black",NA,"No",NA,30,NA
"0232",NA,2,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",22,39
"0233",6,NA,"Some","Just enough","Male","No","At least one parent attended college","white","hispanic",NA,NA,"No",21,22
"0234",NA,8,"Just enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",18,19
"0235",7,8,"Some","Some","Female","No","At least one parent attended college","white","black",NA,"No","No",33,44
"0236",8,NA,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",34,37
"0237",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",29,30
"0238",5,5,"Just enough","Just enough","Male","No","At least one parent attended college","black","black","Yes","No","No",32,33
"0239",NA,4,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,40,NA
"0240",5,6,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",20,24
"0241",7,NA,"Some","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",28,30
"0242",5,7,"Just enough","Just enough","Male","No","Neither parent attended college","black",NA,NA,"No","No",30,32
"0243",3,5,"Some","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",34,28
"0244",NA,2,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,22,NA
"0245",NA,NA,"Some","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",22,42
"0246",8,7,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",37,34
"0247",3,3,"Just enough","Just enough","Male","No","Neither parent attended college","white",NA,NA,"No","No",20,25
"0248",NA,NA,NA,"Not enough","Female","Yes","At least one parent attended college","hispanic","hispanic",NA,"No","Yes",34,47
"0249",7,7,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",20,22
"0250",7,NA,"Some",NA,"Female","No","At least one parent attended college","black","black",NA,"No","No",26,29
"0251",7,7,"Just enough","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",22,34
"0252",9,NA,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No",NA,36,45
"0253",NA,2,NA,NA,"Male","No","Neither parent attended college","black","hispanic",NA,"No",NA,22,NA
"0254",2,NA,"Just enough",NA,"Male","No","Neither parent attended college","black","black",NA,NA,"No",17,29
"0255",9,8,"Some","Some","Male","No","Neither parent attended college","white",NA,NA,"No","No",28,30
"0256",NA,4,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,39,NA
"0257",7,6,"Some","Not enough","Male","No","At least one parent attended college","black","black",NA,"No","No",28,27
"0258",9,9,"Just enough","Some","Female","No","At least one parent attended college","hispanic","white",NA,"No","No",36,44
"0259",1,1,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","No","No","No",25,27
"0260",NA,5,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",23,29
"0261",NA,NA,"Some","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",22,24
"0262",NA,3,NA,"Not enough","Male","No","Neither parent attended college","black","black","No","No",NA,19,NA
"0263",3,4,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","black","Yes","No","No",22,21
"0264",9,9,"Some",NA,"Female","No","At least one parent attended college","white","white",NA,"No","No",39,36
"0265",NA,NA,"Some","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",16,17
"0266",9,2,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic","No",NA,"Yes",20,26
"0267",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic","No","Yes",NA,27,NA
"0268",NA,8,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",19,28
"0269",NA,7,NA,"Some","Female","No","At least one parent attended college",NA,NA,NA,"No",NA,35,NA
"0270",3,5,"Not enough",NA,"Female","No","Neither parent attended college","black","black",NA,NA,"No",20,21
"0271",NA,NA,NA,"Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,26,NA
"0272",NA,1,NA,"Not enough","Female","No","Neither parent attended college",NA,"black",NA,"No",NA,20,NA
"0273",NA,NA,NA,"Some","Male","No","At least one parent attended college","black","black",NA,"No",NA,19,NA
