"idnum","cm1edu","cf1edu","cm1povca","cf1povca","povstatus","edustatus","f4b7a","m4b7a","child_attend_kindergarten"
"0057",1,2,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"0058",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"0059",1,2,3,4,"high-income","Neither parent attended college",-6,-6,NA
"0060",1,2,2,3,"low-income","Neither parent attended college",-6,-6,NA
"0061",3,2,3,3,"low-income","At least one parent attended college",-9,1,"yes"
"0062",3,1,1,1,"low-income","At least one parent attended college",-6,-6,NA
"0063",1,1,3,-9,"low-income","Neither parent attended college",2,2,"no"
"0064",2,1,1,1,"low-income","Neither parent attended college",-6,2,"no"
"0065",1,1,1,1,"low-income","Neither parent attended college",-9,-6,NA
"0066",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0067",2,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"0068",2,1,2,2,"low-income","Neither parent attended college",-9,2,"no"
"0069",3,3,4,-9,"high-income","At least one parent attended college",-6,-9,NA
"0070",2,2,4,5,"high-income","Neither parent attended college",-6,-9,NA
"0071",1,2,4,-9,"high-income","Neither parent attended college",-9,-9,NA
"0072",3,2,5,5,"high-income","At least one parent attended college",-9,1,"yes"
"0073",2,1,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"0074",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0075",1,2,2,5,"high-income","Neither parent attended college",-9,-9,NA
"0076",1,1,2,3,"low-income","Neither parent attended college",-6,-6,NA
"0077",1,1,4,4,"high-income","Neither parent attended college",-6,-6,NA
"0078",1,-3,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"0079",1,1,3,3,"low-income","Neither parent attended college",-9,-5,NA
"0080",4,4,5,5,"high-income","At least one parent attended college",2,1,"no"
"0081",1,2,5,5,"high-income","Neither parent attended college",-9,-6,NA
"0082",1,1,3,3,"low-income","Neither parent attended college",1,1,"yes"
"0083",2,2,3,-9,"low-income","Neither parent attended college",-6,2,"no"
"0084",1,1,1,5,"high-income","Neither parent attended college",-9,-6,NA
"0085",1,1,3,3,"low-income","Neither parent attended college",-6,-9,NA
"0086",1,-3,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"0087",3,3,4,-9,"high-income","At least one parent attended college",-9,-6,NA
"0088",1,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0089",3,1,3,3,"low-income","At least one parent attended college",-9,-9,NA
"0090",2,1,1,1,"low-income","Neither parent attended college",2,2,"no"
"0091",1,1,4,5,"high-income","Neither parent attended college",-6,-6,NA
"0092",1,2,2,2,"low-income","Neither parent attended college",-9,-9,NA
"0093",3,2,3,3,"low-income","At least one parent attended college",-6,2,"no"
"0094",2,-3,3,-9,"low-income","Neither parent attended college",-9,1,"yes"
"0095",2,1,4,5,"high-income","Neither parent attended college",-9,-6,NA
"0096",1,1,3,1,"low-income","Neither parent attended college",1,-6,"yes"
"0097",3,1,3,2,"low-income","At least one parent attended college",-6,2,"no"
"0098",2,1,4,-9,"high-income","Neither parent attended college",-9,-9,NA
"0099",2,3,5,4,"high-income","At least one parent attended college",-9,-9,NA
"0100",2,2,5,5,"high-income","Neither parent attended college",-6,-9,NA
"0101",2,2,3,5,"high-income","Neither parent attended college",-6,1,"yes"
"0102",2,2,5,5,"high-income","Neither parent attended college",-9,-9,NA
"0103",2,1,5,5,"high-income","Neither parent attended college",1,1,"yes"
"0104",1,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"0105",2,2,1,3,"low-income","Neither parent attended college",-6,2,"no"
"0106",2,3,4,4,"high-income","At least one parent attended college",-9,-9,NA
"0107",2,1,4,5,"high-income","Neither parent attended college",-6,-5,NA
"0108",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"0109",2,2,3,5,"high-income","Neither parent attended college",-6,1,"yes"
"0110",2,2,5,-9,"high-income","Neither parent attended college",-9,1,"yes"
"0111",2,1,3,3,"low-income","Neither parent attended college",-9,1,"yes"
"0112",1,1,4,3,"high-income","Neither parent attended college",-6,-6,NA
"0113",2,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"0114",1,2,1,3,"low-income","Neither parent attended college",-6,1,"yes"
"0115",3,2,3,3,"low-income","At least one parent attended college",-6,-6,NA
"0116",3,1,1,1,"low-income","At least one parent attended college",2,1,"no"
"0117",2,3,3,3,"low-income","At least one parent attended college",2,2,"no"
"0118",1,1,1,1,"low-income","Neither parent attended college",-6,-9,NA
"0119",3,2,1,3,"low-income","At least one parent attended college",-6,-6,NA
"0120",3,3,5,5,"high-income","At least one parent attended college",2,-6,"no"
"0121",1,2,4,-9,"high-income","Neither parent attended college",-9,-6,NA
"0122",3,2,3,3,"low-income","At least one parent attended college",2,1,"no"
"0123",1,1,2,1,"low-income","Neither parent attended college",-9,-6,NA
"0124",2,1,4,3,"high-income","Neither parent attended college",-6,-6,NA
"0125",4,2,5,5,"high-income","At least one parent attended college",-6,2,"no"
"0126",2,1,4,-9,"high-income","Neither parent attended college",-6,-6,NA
"0127",1,1,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"0128",2,1,5,3,"high-income","Neither parent attended college",2,-6,"no"
"0129",2,2,3,5,"high-income","Neither parent attended college",-6,-6,NA
"0130",2,3,5,5,"high-income","At least one parent attended college",1,1,"yes"
"0131",1,1,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"0132",1,3,2,2,"low-income","At least one parent attended college",-6,-6,NA
"0133",2,-3,3,-9,"low-income","Neither parent attended college",-9,2,"no"
"0134",4,3,5,5,"high-income","At least one parent attended college",-6,-5,NA
"0135",4,4,5,5,"high-income","At least one parent attended college",-9,-9,NA
"0136",3,3,5,-9,"high-income","At least one parent attended college",-9,1,"yes"
"0137",4,4,5,-9,"high-income","At least one parent attended college",-9,-6,NA
"0138",2,1,5,5,"high-income","Neither parent attended college",-6,1,"yes"
"0139",2,1,1,1,"low-income","Neither parent attended college",1,1,"yes"
"0140",2,1,1,4,"high-income","Neither parent attended college",-6,1,"yes"
"0141",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0142",2,-3,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"0143",2,3,1,1,"low-income","At least one parent attended college",-6,-6,NA
"0144",1,-3,2,-9,"low-income","Neither parent attended college",-9,1,"yes"
"0145",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"0146",4,2,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0147",1,3,1,1,"low-income","At least one parent attended college",2,2,"no"
"0148",1,1,1,1,"low-income","Neither parent attended college",1,1,"yes"
"0149",1,1,2,2,"low-income","Neither parent attended college",-6,-6,NA
"0150",2,2,5,5,"high-income","Neither parent attended college",-6,-6,NA
"0151",2,2,3,4,"high-income","Neither parent attended college",-9,1,"yes"
"0152",1,1,2,-9,"low-income","Neither parent attended college",1,-6,"yes"
"0153",2,2,4,-9,"high-income","Neither parent attended college",-6,1,"yes"
"0154",3,3,5,5,"high-income","At least one parent attended college",2,1,"no"
"0155",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"0156",1,1,2,3,"low-income","Neither parent attended college",-6,1,"yes"
"0157",3,3,5,5,"high-income","At least one parent attended college",-6,1,"yes"
"0158",4,2,5,5,"high-income","At least one parent attended college",-9,-6,NA
"0159",1,1,2,1,"low-income","Neither parent attended college",-9,-6,NA
"0160",1,2,1,1,"low-income","Neither parent attended college",1,1,"yes"
"0161",1,2,1,1,"low-income","Neither parent attended college",-9,-6,NA
"0162",2,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0163",1,-3,4,-9,"high-income","Neither parent attended college",-9,2,"no"
"0164",1,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0165",1,1,2,2,"low-income","Neither parent attended college",-6,-6,NA
"0166",1,1,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"0167",1,1,3,1,"low-income","Neither parent attended college",-6,1,"yes"
"0168",2,2,4,4,"high-income","Neither parent attended college",-6,-6,NA
"0169",2,2,3,3,"low-income","Neither parent attended college",-9,-9,NA
"0170",2,3,3,3,"low-income","At least one parent attended college",-9,-9,NA
"0171",3,4,3,4,"high-income","At least one parent attended college",2,2,"no"
"0172",1,1,2,2,"low-income","Neither parent attended college",-9,-6,NA
"0173",1,2,2,2,"low-income","Neither parent attended college",-6,-6,NA
"0174",3,4,5,5,"high-income","At least one parent attended college",-6,1,"yes"
"0175",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0176",1,1,3,5,"high-income","Neither parent attended college",1,-6,"yes"
"0177",2,1,3,1,"low-income","Neither parent attended college",2,2,"no"
"0178",3,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"0179",3,2,5,-9,"high-income","At least one parent attended college",-9,2,"no"
"0180",3,3,2,2,"low-income","At least one parent attended college",2,2,"no"
"0181",2,2,3,3,"low-income","Neither parent attended college",-9,2,"no"
"0182",2,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"0183",3,3,2,2,"low-income","At least one parent attended college",-9,-9,NA
"0184",1,2,3,-9,"low-income","Neither parent attended college",-9,1,"yes"
"0185",2,1,2,-9,"low-income","Neither parent attended college",-9,-9,NA
"0186",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0187",4,2,5,5,"high-income","At least one parent attended college",-9,1,"yes"
"0188",4,3,5,-9,"high-income","At least one parent attended college",-9,-9,NA
"0189",2,1,3,3,"low-income","Neither parent attended college",2,-6,"no"
"0190",3,3,4,4,"high-income","At least one parent attended college",1,-6,"yes"
"0191",3,2,4,4,"high-income","At least one parent attended college",-6,-6,NA
"0192",2,2,3,4,"high-income","Neither parent attended college",-9,-6,NA
"0193",1,3,2,2,"low-income","At least one parent attended college",-9,-9,NA
"0194",3,2,5,-9,"high-income","At least one parent attended college",-9,-9,NA
"0195",2,-3,1,-9,"low-income","Neither parent attended college",1,-9,"yes"
"0196",2,1,3,3,"low-income","Neither parent attended college",2,2,"no"
"0197",1,1,5,5,"high-income","Neither parent attended college",1,1,"yes"
"0198",4,4,5,5,"high-income","At least one parent attended college",1,1,"yes"
"0199",2,3,2,4,"high-income","At least one parent attended college",-9,1,"yes"
"0200",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"0201",3,1,1,1,"low-income","At least one parent attended college",1,1,"yes"
"0202",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0203",3,3,3,5,"high-income","At least one parent attended college",-9,-6,NA
"0204",2,2,3,3,"low-income","Neither parent attended college",2,-6,"no"
"0205",2,1,2,5,"high-income","Neither parent attended college",-9,-5,NA
"0206",2,-3,1,-9,"low-income","Neither parent attended college",-9,2,"no"
"0207",3,2,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0208",1,1,5,-9,"high-income","Neither parent attended college",-9,-9,NA
"0209",2,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"0210",3,1,5,-9,"high-income","At least one parent attended college",-9,-6,NA
"0211",1,2,2,2,"low-income","Neither parent attended college",2,2,"no"
"0212",2,-3,2,-9,"low-income","Neither parent attended college",-9,-6,NA
"0213",2,2,4,1,"high-income","Neither parent attended college",-9,1,"yes"
"0214",1,1,2,3,"low-income","Neither parent attended college",-9,-6,NA
"0215",2,1,3,-9,"low-income","Neither parent attended college",-6,1,"yes"
"0216",3,2,2,2,"low-income","At least one parent attended college",-6,1,"yes"
"0217",3,3,5,5,"high-income","At least one parent attended college",-9,1,"yes"
"0218",1,2,5,4,"high-income","Neither parent attended college",-9,1,"yes"
"0219",1,1,1,1,"low-income","Neither parent attended college",-6,-6,NA
"0220",3,3,4,5,"high-income","At least one parent attended college",-9,-5,NA
"0221",1,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0222",4,3,5,3,"high-income","At least one parent attended college",-6,-9,NA
"0223",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0224",1,-3,2,-9,"low-income","Neither parent attended college",-6,1,"yes"
"0225",2,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0226",1,3,2,5,"high-income","At least one parent attended college",1,-9,"yes"
"0227",2,3,5,3,"high-income","At least one parent attended college",-9,1,"yes"
"0228",4,2,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0229",2,-3,1,-9,"low-income","Neither parent attended college",-6,2,"no"
"0230",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0231",3,3,3,-9,"low-income","At least one parent attended college",-6,2,"no"
"0232",3,1,2,1,"low-income","At least one parent attended college",-6,2,"no"
"0233",2,3,4,4,"high-income","At least one parent attended college",-6,2,"no"
"0234",2,2,4,5,"high-income","Neither parent attended college",-9,2,"no"
"0235",2,3,5,5,"high-income","At least one parent attended college",-6,2,"no"
"0236",2,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0237",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"0238",3,3,2,3,"low-income","At least one parent attended college",2,2,"no"
"0239",1,1,2,-9,"low-income","Neither parent attended college",-9,-9,NA
"0240",2,2,4,4,"high-income","Neither parent attended college",-6,-9,NA
"0241",2,1,5,4,"high-income","Neither parent attended college",-9,1,"yes"
"0242",2,2,4,4,"high-income","Neither parent attended college",-6,-6,NA
"0243",2,2,3,2,"low-income","Neither parent attended college",-6,2,"no"
"0244",2,1,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"0245",1,3,4,4,"high-income","At least one parent attended college",2,1,"no"
"0246",3,2,5,5,"high-income","At least one parent attended college",1,1,"yes"
"0247",1,2,3,3,"low-income","Neither parent attended college",-6,2,"no"
"0248",3,1,2,4,"high-income","At least one parent attended college",-6,-9,NA
"0249",2,2,5,5,"high-income","Neither parent attended college",1,1,"yes"
"0250",2,3,4,4,"high-income","At least one parent attended college",-6,-5,NA
"0251",3,3,5,5,"high-income","At least one parent attended college",-9,2,"no"
"0252",4,4,5,5,"high-income","At least one parent attended college",1,2,"no"
"0253",2,-3,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"0254",1,2,2,2,"low-income","Neither parent attended college",-6,-5,NA
"0255",2,2,5,4,"high-income","Neither parent attended college",-6,2,"no"
"0256",2,2,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"0257",1,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"0258",4,3,5,5,"high-income","At least one parent attended college",1,2,"no"
"0259",1,2,1,1,"low-income","Neither parent attended college",2,-9,"no"
"0260",2,2,3,3,"low-income","Neither parent attended college",2,2,"no"
"0261",1,2,3,3,"low-income","Neither parent attended college",1,-6,"yes"
"0262",1,1,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"0263",2,1,3,2,"low-income","Neither parent attended college",-9,1,"yes"
"0264",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0265",1,1,2,2,"low-income","Neither parent attended college",-6,-6,NA
"0266",2,1,2,5,"high-income","Neither parent attended college",-6,-6,NA
"0267",1,-3,1,-9,"low-income","Neither parent attended college",-9,2,"no"
"0268",1,2,5,5,"high-income","Neither parent attended college",-6,1,"yes"
"0269",3,2,5,-9,"high-income","At least one parent attended college",1,-9,"yes"
"0270",1,1,2,2,"low-income","Neither parent attended college",-6,-6,NA
"0271",1,1,2,-9,"low-income","Neither parent attended college",1,1,"yes"
"0272",1,1,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"0273",3,2,4,-9,"high-income","At least one parent attended college",-9,-6,NA
"0274",2,2,3,3,"low-income","Neither parent attended college",-9,-6,NA
"0275",2,1,1,-9,"low-income","Neither parent attended college",1,-6,"yes"
"0276",3,4,5,5,"high-income","At least one parent attended college",1,2,"no"
"0277",2,1,3,3,"low-income","Neither parent attended college",1,1,"yes"
"0278",1,1,1,-9,"low-income","Neither parent attended college",-6,-9,NA
"0279",2,1,3,2,"low-income","Neither parent attended college",-9,-6,NA
"0280",1,2,2,2,"low-income","Neither parent attended college",1,1,"yes"
"0281",2,1,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"0282",2,3,3,3,"low-income","At least one parent attended college",1,2,"no"
"0283",3,3,3,5,"high-income","At least one parent attended college",-9,2,"no"
"0284",1,1,4,4,"high-income","Neither parent attended college",-6,-6,NA
"0285",4,4,5,5,"high-income","At least one parent attended college",-6,-9,NA
"0286",4,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0287",2,-3,3,-9,"low-income","Neither parent attended college",-6,1,"yes"
"0288",2,3,5,5,"high-income","At least one parent attended college",-9,1,"yes"
"0289",1,1,3,3,"low-income","Neither parent attended college",-9,2,"no"
"0290",2,2,5,-9,"high-income","Neither parent attended college",-9,-9,NA
"0291",1,1,4,4,"high-income","Neither parent attended college",-6,2,"no"
"0292",1,2,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"0293",1,2,1,5,"high-income","Neither parent attended college",1,1,"yes"
"0294",1,1,2,2,"low-income","Neither parent attended college",1,-6,"yes"
"0295",4,4,5,5,"high-income","At least one parent attended college",1,1,"yes"
"0296",1,1,3,3,"low-income","Neither parent attended college",2,2,"no"
"0297",2,2,2,2,"low-income","Neither parent attended college",-6,-6,NA
"0298",1,1,2,5,"high-income","Neither parent attended college",-6,-6,NA
"0299",2,2,3,3,"low-income","Neither parent attended college",2,2,"no"
"0300",2,3,2,5,"high-income","At least one parent attended college",1,1,"yes"
"0301",3,2,4,4,"high-income","At least one parent attended college",1,-6,"yes"
"0302",1,2,1,-9,"low-income","Neither parent attended college",-9,2,"no"
"0303",2,2,2,1,"low-income","Neither parent attended college",1,-6,"yes"
"0304",2,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0305",3,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"0306",3,3,4,4,"high-income","At least one parent attended college",-9,-9,NA
"0307",4,4,5,5,"high-income","At least one parent attended college",1,1,"yes"
"0308",2,2,1,1,"low-income","Neither parent attended college",-6,2,"no"
"0309",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"0310",1,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0311",2,2,3,-9,"low-income","Neither parent attended college",-9,1,"yes"
"0312",1,2,1,1,"low-income","Neither parent attended college",-9,-9,NA
"0313",3,3,5,5,"high-income","At least one parent attended college",-6,2,"no"
"0314",2,1,2,2,"low-income","Neither parent attended college",-9,-6,NA
"0315",1,1,5,5,"high-income","Neither parent attended college",1,2,"no"
"0316",1,2,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"0317",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"0318",2,2,5,-9,"high-income","Neither parent attended college",-9,-9,NA
"0319",4,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"0320",1,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0321",4,4,5,5,"high-income","At least one parent attended college",-9,-9,NA
"0322",1,-3,1,-9,"low-income","Neither parent attended college",-9,2,"no"
"0323",2,2,3,3,"low-income","Neither parent attended college",-9,1,"yes"
"0324",1,-3,2,-9,"low-income","Neither parent attended college",-9,-6,NA
"0325",1,2,2,1,"low-income","Neither parent attended college",-6,-6,NA
"0326",3,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"0327",3,3,3,-9,"low-income","At least one parent attended college",-6,-6,NA
"0328",1,1,1,4,"high-income","Neither parent attended college",-9,-9,NA
"0329",1,2,4,4,"high-income","Neither parent attended college",-9,1,"yes"
"0330",1,2,1,2,"low-income","Neither parent attended college",-6,1,"yes"
"0331",2,3,4,4,"high-income","At least one parent attended college",-9,1,"yes"
"0332",2,1,1,4,"high-income","Neither parent attended college",-6,-6,NA
"0333",2,2,3,5,"high-income","Neither parent attended college",-9,-6,NA
"0334",2,2,5,5,"high-income","Neither parent attended college",-9,2,"no"
"0335",1,-3,1,-9,"low-income","Neither parent attended college",-9,1,"yes"
"0336",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"0337",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"0338",3,2,3,-9,"low-income","At least one parent attended college",1,1,"yes"
"0339",2,4,5,5,"high-income","At least one parent attended college",-6,1,"yes"
"0340",1,3,4,4,"high-income","At least one parent attended college",-6,2,"no"
"0341",3,2,1,1,"low-income","At least one parent attended college",-6,-6,NA
"0342",2,2,4,4,"high-income","Neither parent attended college",-9,2,"no"
"0343",3,2,2,-9,"low-income","At least one parent attended college",-6,-6,NA
"0344",3,3,1,4,"high-income","At least one parent attended college",1,-6,"yes"
"0345",2,1,3,-9,"low-income","Neither parent attended college",-6,-6,NA
"0346",1,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"0347",3,2,5,5,"high-income","At least one parent attended college",-9,2,"no"
"0348",3,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0349",3,4,4,5,"high-income","At least one parent attended college",-6,-5,NA
"0350",2,1,3,3,"low-income","Neither parent attended college",-9,2,"no"
"0351",2,2,3,2,"low-income","Neither parent attended college",-6,-6,NA
"0352",1,1,1,-9,"low-income","Neither parent attended college",-9,1,"yes"
"0353",1,2,5,5,"high-income","Neither parent attended college",1,-6,"yes"
"0354",1,-3,2,-9,"low-income","Neither parent attended college",-9,2,"no"
"0355",1,2,1,2,"low-income","Neither parent attended college",-6,-6,NA
"0356",3,4,4,4,"high-income","At least one parent attended college",-6,2,"no"
"0357",1,1,1,1,"low-income","Neither parent attended college",1,1,"yes"
"0358",3,3,2,2,"low-income","At least one parent attended college",-6,-6,NA
"0359",2,1,5,5,"high-income","Neither parent attended college",1,-6,"yes"
"0360",1,1,1,1,"low-income","Neither parent attended college",-6,2,"no"
"0361",3,2,1,-9,"low-income","At least one parent attended college",-9,2,"no"
"0362",3,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"0363",3,1,2,2,"low-income","At least one parent attended college",-9,-9,NA
"0364",3,1,3,3,"low-income","At least one parent attended college",-6,2,"no"
"0365",2,3,3,4,"high-income","At least one parent attended college",1,-9,"yes"
"0366",1,1,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"0367",2,3,4,4,"high-income","At least one parent attended college",-6,2,"no"
"0368",4,2,5,5,"high-income","At least one parent attended college",-9,-9,NA
"0369",2,1,3,3,"low-income","Neither parent attended college",-6,-9,NA
"0370",3,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"0371",1,3,5,5,"high-income","At least one parent attended college",1,-9,"yes"
"0372",3,3,3,-9,"low-income","At least one parent attended college",-9,-9,NA
"0373",1,1,1,5,"high-income","Neither parent attended college",2,1,"no"
"0374",2,3,4,-9,"high-income","At least one parent attended college",-6,2,"no"
"0375",1,-3,4,-9,"high-income","Neither parent attended college",1,-9,"yes"
"0376",2,2,4,5,"high-income","Neither parent attended college",-9,-6,NA
"0377",1,1,3,1,"low-income","Neither parent attended college",-9,1,"yes"
"0378",4,4,5,5,"high-income","At least one parent attended college",-9,2,"no"
"0379",3,2,4,4,"high-income","At least one parent attended college",1,1,"yes"
"0380",3,4,5,5,"high-income","At least one parent attended college",-9,2,"no"
"0381",1,1,3,3,"low-income","Neither parent attended college",1,1,"yes"
"0382",3,-3,3,-9,"low-income","At least one parent attended college",-9,1,"yes"
"0383",2,3,4,5,"high-income","At least one parent attended college",-9,-6,NA
"0384",1,1,2,2,"low-income","Neither parent attended college",-6,-5,NA
"0385",1,1,1,5,"high-income","Neither parent attended college",1,2,"no"
"0386",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"0387",1,1,1,1,"low-income","Neither parent attended college",-6,-6,NA
"0388",1,1,3,5,"high-income","Neither parent attended college",-6,1,"yes"
"0389",1,1,5,2,"high-income","Neither parent attended college",1,1,"yes"
"0390",2,2,4,-9,"high-income","Neither parent attended college",-9,-9,NA
"0391",4,1,5,-9,"high-income","At least one parent attended college",-9,-6,NA
"0392",2,2,1,5,"high-income","Neither parent attended college",-9,-6,NA
