"idnum","child_attend_kindergarten","povstatus"
"0143","yes","low-income"
"0144","yes","low-income"
"0145","no","high-income"
"0146","yes","high-income"
"0147","yes","low-income"
"0148","yes","low-income"
"0149","yes","low-income"
"0150","yes","high-income"
"0151","yes","high-income"
"0152","yes","low-income"
"0153","yes","high-income"
"0154","yes","high-income"
"0155","yes","high-income"
"0156","yes","low-income"
"0157","no","high-income"
"0158","yes","high-income"
"0159","yes","low-income"
"0160","yes","low-income"
"0161","yes","low-income"
"0162","yes","low-income"
"0163","yes","high-income"
"0164","yes","low-income"
"0165","yes","low-income"
"0166",NA,"low-income"
"0167","yes","low-income"
"0168","yes","high-income"
"0169",NA,"low-income"
"0170",NA,"low-income"
"0171","no","high-income"
"0172","yes","low-income"
"0173","no","low-income"
"0174","yes","high-income"
"0175","yes","high-income"
"0176","yes","high-income"
"0177","yes","low-income"
"0178","yes","low-income"
"0179","no","high-income"
"0180","yes","low-income"
"0181","yes","low-income"
"0182","yes","low-income"
"0183",NA,"low-income"
"0184","yes","low-income"
"0185",NA,"low-income"
"0186","yes","high-income"
"0187","yes","high-income"
"0188",NA,"high-income"
"0189","yes","low-income"
"0190","yes","high-income"
"0191","yes","high-income"
"0192","yes","high-income"
"0193",NA,"low-income"
"0194",NA,"high-income"
"0195","yes","low-income"
"0196","yes","low-income"
"0197","no","high-income"
"0198","yes","high-income"
"0199","yes","high-income"
"0200",NA,"low-income"
"0201","yes","low-income"
"0202","yes","high-income"
"0203","no","high-income"
"0204","no","low-income"
"0205","yes","high-income"
"0206","no","low-income"
"0207","yes","high-income"
"0208",NA,"high-income"
"0209","yes","low-income"
"0210","yes","high-income"
"0211","no","low-income"
"0212","no","low-income"
"0213","yes","high-income"
"0214","yes","low-income"
"0215","yes","low-income"
"0216","yes","low-income"
"0217","yes","high-income"
"0218","yes","high-income"
"0219",NA,"low-income"
"0220","no","high-income"
"0221","yes","low-income"
"0222",NA,"high-income"
"0223","yes","high-income"
"0224","no","low-income"
"0225","no","low-income"
"0226","no","high-income"
"0227","yes","high-income"
"0228","yes","high-income"
"0229","yes","low-income"
"0230","yes","high-income"
"0231","no","low-income"
"0232","no","low-income"
"0233","yes","high-income"
"0234","yes","high-income"
"0235","yes","high-income"
"0236","yes","high-income"
"0237","yes","high-income"
"0238","no","low-income"
"0239",NA,"low-income"
"0240",NA,"high-income"
"0241","no","high-income"
"0242","yes","high-income"
"0243","yes","low-income"
"0244","no","low-income"
"0245","yes","high-income"
"0246","yes","high-income"
"0247","yes","low-income"
"0248",NA,"high-income"
"0249","yes","high-income"
"0250","yes","high-income"
"0251","yes","high-income"
"0252","yes","high-income"
"0253","yes","low-income"
"0254","yes","low-income"
"0255","no","high-income"
"0256","yes","low-income"
"0257","yes","low-income"
"0258","yes","high-income"
"0259","yes","low-income"
"0260","yes","low-income"
"0261","yes","low-income"
"0262","no","low-income"
"0263","yes","low-income"
"0264","yes","high-income"
"0265","yes","low-income"
"0266","yes","high-income"
"0267","yes","low-income"
"0268","yes","high-income"
"0269","yes","high-income"
"0270","no","low-income"
"0271","no","low-income"
"0272","yes","low-income"
"0273","yes","high-income"
"0274","yes","low-income"
"0275","yes","low-income"
"0276","yes","high-income"
"0277","yes","low-income"
"0278","no","low-income"
"0279","yes","low-income"
"0280","no","low-income"
"0281","yes","low-income"
"0282","yes","low-income"
"0283","yes","high-income"
"0284","yes","high-income"
"0285","yes","high-income"
"0286","yes","high-income"
"0287","no","low-income"
"0288","yes","high-income"
"0289","no","low-income"
"0290",NA,"high-income"
"0291","yes","high-income"
"0292","yes","low-income"
"0293","yes","high-income"
"0294","yes","low-income"
"0295","no","high-income"
"0296","yes","low-income"
"0297","yes","low-income"
"0298","no","high-income"
"0299","yes","low-income"
"0300","yes","high-income"
"0301","yes","high-income"
"0302","yes","low-income"
"0303","yes","low-income"
"0304","yes","high-income"
"0305","yes","high-income"
"0306",NA,"high-income"
"0307","yes","high-income"
"0308","yes","low-income"
"0309","yes","high-income"
"0310","yes","low-income"
"0311","yes","low-income"
"0312",NA,"low-income"
"0313","yes","high-income"
"0314","yes","low-income"
"0315","no","high-income"
"0316","yes","low-income"
"0317",NA,"low-income"
"0318",NA,"high-income"
"0319","yes","high-income"
"0320","yes","low-income"
"0321",NA,"high-income"
"0322","yes","low-income"
"0323","yes","low-income"
"0324","yes","low-income"
"0325","yes","low-income"
"0326","yes","low-income"
"0327","yes","low-income"
"0328",NA,"high-income"
"0329","no","high-income"
"0330","yes","low-income"
"0331","yes","high-income"
"0332","yes","high-income"
"0333","yes","high-income"
"0334","yes","high-income"
"0335","yes","low-income"
"0336","yes","high-income"
"0337","yes","high-income"
"0338","yes","low-income"
"0339","yes","high-income"
"0340","no","high-income"
"0341","yes","low-income"
"0342","no","high-income"
"0343","no","low-income"
"0344","yes","high-income"
"0345","yes","low-income"
"0346","yes","low-income"
"0347","yes","high-income"
"0348","yes","high-income"
"0349","yes","high-income"
"0350","no","low-income"
"0351","yes","low-income"
"0352","yes","low-income"
"0353","yes","high-income"
"0354","yes","low-income"
"0355","yes","low-income"
"0356","yes","high-income"
"0357","no","low-income"
"0358","yes","low-income"
"0359","no","high-income"
"0360","no","low-income"
"0361","yes","low-income"
"0362","yes","high-income"
"0363",NA,"low-income"
"0364","yes","low-income"
"0365","yes","high-income"
"0366","yes","low-income"
"0367","yes","high-income"
"0368",NA,"high-income"
"0369",NA,"low-income"
"0370","yes","high-income"
"0371","yes","high-income"
"0372",NA,"low-income"
"0373","yes","high-income"
"0374","yes","high-income"
"0375","yes","high-income"
"0376","yes","high-income"
"0377","yes","low-income"
"0378","yes","high-income"
"0379","yes","high-income"
"0380","yes","high-income"
"0381","yes","low-income"
"0382","no","low-income"
"0383","yes","high-income"
"0384","yes","low-income"
"0385","yes","high-income"
"0386","yes","high-income"
"0387","no","low-income"
"0388","no","high-income"
"0389","yes","high-income"
"0390",NA,"high-income"
"0391","yes","high-income"
"0392","yes","high-income"
"0393","yes","high-income"
"0394","no","low-income"
"0395",NA,"low-income"
"0396","yes","low-income"
"0397","yes","high-income"
"0398","yes","high-income"
"0399","yes","high-income"
"0400",NA,"high-income"
"0401","no","high-income"
"0402","no","low-income"
"0403","yes","high-income"
"0404","yes","high-income"
"0405","yes","high-income"
"0406","yes","high-income"
"0407","yes","low-income"
"0408",NA,"high-income"
"0409","yes","high-income"
"0410","yes","high-income"
"0411","no","low-income"
"0412",NA,"high-income"
"0413","yes","high-income"
"0414","no","high-income"
"0415","no","low-income"
"0416","yes","high-income"
"0417",NA,"high-income"
"0418","no","low-income"
"0419","yes","low-income"
"0420","yes","low-income"
"0421","yes","low-income"
"0422","yes","high-income"
"0423","yes","low-income"
"0424","yes","low-income"
"0425","yes","high-income"
"0426","yes","high-income"
"0427","yes","low-income"
"0428",NA,"high-income"
"0429","no","low-income"
"0430","yes","high-income"
"0431","yes","low-income"
"0432",NA,"low-income"
"0433","yes","low-income"
"0434","yes","low-income"
"0435","yes","high-income"
"0436","yes","high-income"
"0437",NA,"high-income"
"0438","yes","high-income"
"0439","no","high-income"
"0440","yes","low-income"
"0441","yes","high-income"
"0442","yes","high-income"
"0443","yes","high-income"
"0444","yes","low-income"
"0445","yes","high-income"
"0446","yes","high-income"
"0447","yes","high-income"
"0448","no","low-income"
"0449","yes","low-income"
"0450","no","low-income"
"0451","yes","low-income"
"0452","yes","high-income"
"0453","yes","high-income"
"0454","yes","high-income"
"0455","yes","low-income"
"0456","yes","high-income"
"0457","yes","high-income"
"0458","no","high-income"
"0459","yes","high-income"
"0460","yes","high-income"
"0461",NA,"high-income"
"0462",NA,"high-income"
"0463","yes","low-income"
"0464","yes","low-income"
"0465","yes","low-income"
"0466","yes","high-income"
"0467","no","low-income"
"0468","yes","high-income"
"0469","yes","low-income"
"0470","yes","low-income"
"0471",NA,"low-income"
"0472","yes","low-income"
"0473","yes","high-income"
"0474","yes","high-income"
"0475","yes","low-income"
"0476","yes","high-income"
"0477","yes","low-income"
"0478","yes","high-income"
"0479","no","low-income"
"0480","yes","high-income"
"0481","yes","low-income"
"0482","no","high-income"
"0483","no","high-income"
"0484","no","low-income"
"0485",NA,"low-income"
"0486","no","high-income"
"0487","yes","high-income"
"0488","yes","low-income"
"0489",NA,"low-income"
"0490","yes","low-income"
"0491","no","low-income"
"0492","yes","high-income"
"0493","yes","low-income"
"0494","yes","high-income"
"0495","yes","high-income"
"0496","yes","high-income"
"0497","yes","low-income"
"0498","no","high-income"
"0499","yes","high-income"
"0500","yes","high-income"
"0501","yes","low-income"
"0502","yes","low-income"
"0503","yes","low-income"
"0504","yes","high-income"
"0505",NA,"low-income"
"0506","yes","high-income"
"0507",NA,"high-income"
"0508",NA,"low-income"
"0509","no","low-income"
"0510","yes","low-income"
"0511","yes","high-income"
"0512","no","high-income"
"0513","yes","low-income"
"0514","yes","low-income"
"0515","yes","high-income"
"0516","yes","low-income"
"0517","yes","high-income"
"0518",NA,"low-income"
"0519","no","high-income"
"0520","yes","low-income"
"0521","yes","low-income"
"0522",NA,"high-income"
"0523","yes","low-income"
"0524","yes","low-income"
"0525","yes","low-income"
"0526","yes","high-income"
"0527","yes","low-income"
"0528",NA,"low-income"
"0529","no","low-income"
"0530","yes","high-income"
"0531","yes","high-income"
"0532","yes","low-income"
"0533","no","low-income"
"0534",NA,"low-income"
"0535","yes","high-income"
"0536","no","high-income"
"0537",NA,"low-income"
"0538",NA,"high-income"
"0539","yes","high-income"
"0540","yes","high-income"
"0541","yes","high-income"
"0542","yes","high-income"
"0543","yes","low-income"
"0544","no","high-income"
"0545","yes","low-income"
"0546","yes","low-income"
"0547","no","low-income"
"0548","yes","low-income"
"0549","yes","high-income"
"0550","yes","low-income"
"0551",NA,"high-income"
"0552","yes","high-income"
"0553",NA,"high-income"
"0554",NA,"low-income"
"0555","yes","high-income"
"0556","yes","high-income"
"0557","yes","low-income"
"0558","yes","high-income"
"0559","yes","low-income"
"0560","yes","low-income"
"0561","yes","low-income"
"0562","yes","low-income"
"0563","yes","low-income"
"0564","yes","low-income"
"0565","no","low-income"
"0566",NA,"high-income"
"0567",NA,"low-income"
"0568","yes","high-income"
"0569","no","low-income"
"0570","yes","low-income"
"0571","yes","low-income"
"0572","yes","high-income"
"0573",NA,"high-income"
"0574","yes","low-income"
"0575","yes","low-income"
"0576","yes","low-income"
"0577","yes","low-income"
"0578","no","low-income"
"0579","no","low-income"
"0580","yes","low-income"
"0581","yes","high-income"
"0582","yes","low-income"
"0583",NA,"high-income"
"0584",NA,"high-income"
"0585",NA,"low-income"
"0586","yes","low-income"
"0587","yes","low-income"
"0588",NA,"low-income"
"0589","yes","high-income"
"0590","yes","low-income"
"0591","yes","low-income"
"0592","yes","low-income"
"0593","yes","low-income"
"0594","yes","high-income"
"0595","yes","low-income"
"0596",NA,"high-income"
"0597","yes","low-income"
"0598","yes","low-income"
"0599","yes","high-income"
"0600","yes","high-income"
"0601","yes","low-income"
"0602","no","low-income"
"0603",NA,"high-income"
"0604","yes","high-income"
"0605","yes","high-income"
"0606","yes","low-income"
"0607","yes","high-income"
"0608","yes","low-income"
"0609","yes","low-income"
"0610","no","low-income"
"0611","yes","low-income"
"0612","yes","low-income"
"0613","yes","high-income"
"0614","no","high-income"
"0615","yes","high-income"
"0616","no","high-income"
"0617","yes","high-income"
"0618",NA,"high-income"
"0619",NA,"high-income"
"0620","yes","low-income"
"0621","yes","low-income"
"0622",NA,"high-income"
"0623","yes","low-income"
"0624","no","high-income"
"0625","yes","low-income"
"0626","yes","low-income"
"0627","yes","low-income"
"0628","yes","high-income"
"0629","yes","low-income"
"0630","no","high-income"
"0631","yes","low-income"
"0632","yes","low-income"
"0633",NA,"high-income"
"0634","yes","high-income"
"0635","yes","low-income"
"0636","no","low-income"
"0637","yes","low-income"
"0638","yes","low-income"
"0639","yes","high-income"
"0640","yes","low-income"
"0641","yes","high-income"
"0642","no","high-income"
"0643","yes","high-income"
"0644",NA,"high-income"
"0645",NA,"low-income"
"0646","no","low-income"
"0647","yes","low-income"
"0648","yes","high-income"
"0649","yes","high-income"
"0650","yes","low-income"
"0651","yes","high-income"
"0652","no","high-income"
"0653","yes","high-income"
"0654","yes","high-income"
"0655","yes","low-income"
"0656","yes","low-income"
"0657","no","low-income"
"0658","no","low-income"
"0659","yes","high-income"
"0660","no","low-income"
"0661","yes","low-income"
"0662","yes","high-income"
"0663","yes","low-income"
"0664","no","high-income"
"0665","yes","high-income"
"0666","yes","low-income"
"0667","yes","low-income"
"0668","yes","high-income"
"0669","yes","high-income"
"0670","yes","low-income"
"0671","yes","low-income"
"0672","yes","high-income"
"0673",NA,"low-income"
"0674","no","low-income"
"0675","yes","high-income"
"0676","yes","high-income"
"0677","yes","low-income"
"0678","yes","high-income"
"0679","yes","low-income"
"0680","yes","low-income"
"0681",NA,"high-income"
"0682",NA,"low-income"
"0683","yes","low-income"
"0684","yes","high-income"
"0685","no","low-income"
"0686","yes","low-income"
"0687","yes","high-income"
"0688","yes","high-income"
"0689","no","high-income"
"0690","yes","high-income"
"0691","yes","high-income"
"0692","yes","high-income"
"0693","no","low-income"
"0694","yes","low-income"
"0695","yes","high-income"
"0696","yes","high-income"
"0697","yes","low-income"
"0698","yes","high-income"
"0699","no","low-income"
"0700",NA,"low-income"
"0701","no","high-income"
"0702","yes","low-income"
"0703","yes","low-income"
"0704","yes","high-income"
"0705","yes","low-income"
"0706","yes","high-income"
"0707","yes","high-income"
"0708","no","low-income"
"0709","yes","low-income"
"0710","yes","low-income"
"0711","yes","high-income"
"0712","no","low-income"
"0713","no","low-income"
"0714","no","low-income"
"0715","yes","high-income"
"0716","yes","low-income"
"0717","yes","low-income"
"0718","yes","low-income"
"0719",NA,"low-income"
"0720","yes","high-income"
"0721","yes","low-income"
"0722","yes","low-income"
"0723",NA,"low-income"
"0724",NA,"low-income"
"0725","no","low-income"
"0726","yes","high-income"
"0727","yes","high-income"
"0728","yes","high-income"
"0729","yes","low-income"
"0730","yes","high-income"
"0731","yes","low-income"
"0732","no","low-income"
"0733","yes","low-income"
"0734",NA,"low-income"
"0735","yes","low-income"
"0736","yes","high-income"
"0737","yes","high-income"
"0738",NA,"high-income"
"0739","no","low-income"
"0740","yes","high-income"
"0741","yes","high-income"
"0742","yes","high-income"
"0743","yes","low-income"
"0744","yes","high-income"
"0745","yes","low-income"
"0746","yes","high-income"
"0747","yes","low-income"
"0748","yes","high-income"
"0749","yes","high-income"
"0750",NA,"low-income"
"0751","yes","low-income"
"0752","yes","high-income"
"0753","no","low-income"
"0754","yes","high-income"
"0755","yes","high-income"
"0756","yes","high-income"
"0757","yes","high-income"
"0758","yes","high-income"
"0759","no","low-income"
"0760",NA,"high-income"
"0761",NA,"high-income"
"0762","yes","low-income"
"0763","no","low-income"
"0764","no","low-income"
"0765","yes","low-income"
"0766","no","low-income"
"0767","yes","high-income"
"0768","yes","high-income"
"0769","yes","low-income"
"0770","yes","low-income"
"0771","yes","low-income"
"0772","yes","low-income"
"0773","yes","low-income"
"0774","yes","low-income"
"0775","no","high-income"
"0776","yes","high-income"
"0777","yes","low-income"
"0778","yes","high-income"
"0779",NA,"low-income"
"0780",NA,"low-income"
"0781","no","low-income"
"0782","yes","low-income"
"0783","yes","high-income"
"0784","yes","high-income"
"0785","yes","low-income"
"0786","no","low-income"
"0787","yes","high-income"
"0788","no","low-income"
"0789","no","low-income"
"0790","yes","low-income"
"0791","yes","high-income"
"0792","yes","high-income"
"0793","yes","low-income"
"0794","yes","high-income"
"0795","yes","high-income"
"0796","no","high-income"
"0797",NA,"high-income"
"0798","yes","low-income"
"0799","no","low-income"
"0800","yes","high-income"
"0801","yes","high-income"
"0802","yes","high-income"
"0803","yes","low-income"
"0804","yes","high-income"
"0805","yes","high-income"
"0806",NA,"low-income"
"0807","yes","low-income"
"0808","yes","high-income"
"0809","no","high-income"
"0810","yes","high-income"
"0811","yes","high-income"
"0812",NA,"low-income"
"0813",NA,"low-income"
"0814","yes","high-income"
"0815",NA,"low-income"
"0816","yes","low-income"
"0817","yes","low-income"
"0818","yes","high-income"
"0819","yes","high-income"
"0820","yes","low-income"
"0821","yes","high-income"
"0822","no","high-income"
"0823","yes","high-income"
"0824","no","high-income"
"0825","yes","high-income"
"0826","yes","low-income"
"0827","yes","low-income"
"0828",NA,"low-income"
"0829","yes","high-income"
"0830","yes","low-income"
"0831","yes","low-income"
"0832","no","low-income"
"0833","no","low-income"
"0834","yes","high-income"
"0835","yes","high-income"
"0836","no","high-income"
"0837",NA,"high-income"
"0838","no","low-income"
"0839","yes","high-income"
"0840",NA,"low-income"
"0841","yes","high-income"
"0842","yes","low-income"
"0843","yes","low-income"
"0844","yes","high-income"
"0845","yes","high-income"
"0846","no","high-income"
"0847","yes","high-income"
"0848","yes","low-income"
"0849",NA,"high-income"
"0850","no","high-income"
"0851","yes","low-income"
"0852","no","low-income"
"0853","yes","low-income"
"0854","yes","low-income"
"0855",NA,"low-income"
"0856","yes","high-income"
"0857","yes","low-income"
"0858","yes","high-income"
"0859",NA,"low-income"
"0860","yes","high-income"
"0861","no","high-income"
"0862","yes","high-income"
"0863","yes","low-income"
"0864","yes","high-income"
"0865",NA,"low-income"
"0866","yes","high-income"
"0867","yes","high-income"
"0868","yes","low-income"
"0869","yes","low-income"
"0870","yes","low-income"
"0871","yes","high-income"
"0872","yes","low-income"
"0873","yes","low-income"
"0874",NA,"high-income"
"0875","yes","high-income"
"0876","yes","high-income"
"0877","no","low-income"
"0878","no","low-income"
"0879","yes","high-income"
"0880","no","high-income"
"0881","yes","low-income"
"0882","yes","low-income"
"0883","yes","low-income"
"0884","yes","low-income"
"0885",NA,"low-income"
"0886","yes","low-income"
"0887",NA,"high-income"
"0888","yes","high-income"
"0889","yes","high-income"
"0890",NA,"high-income"
"0891","yes","low-income"
"0892","yes","low-income"
"0893","no","high-income"
"0894","yes","low-income"
"0895",NA,"high-income"
"0896",NA,"low-income"
"0897","no","high-income"
"0898","yes","high-income"
"0899","yes","low-income"
"0900","yes","low-income"
"0901","yes","low-income"
"0902","yes","low-income"
"0903","yes","low-income"
"0904","yes","low-income"
"0905","yes","high-income"
"0906","no","low-income"
"0907",NA,"low-income"
"0908","yes","low-income"
"0909","yes","low-income"
"0910","yes","low-income"
"0911","no","low-income"
"0912","no","high-income"
"0913","yes","high-income"
"0914","yes","low-income"
"0915","no","low-income"
"0916","yes","low-income"
"0917","yes","high-income"
"0918",NA,"high-income"
"0919",NA,"high-income"
"0920","yes","high-income"
"0921","yes","high-income"
"0922","yes","low-income"
"0923","yes","low-income"
"0924","no","high-income"
"0925","no","low-income"
"0926","yes","high-income"
"0927","yes","high-income"
"0928",NA,"high-income"
"0929","yes","high-income"
"0930",NA,"low-income"
"0931","yes","high-income"
"0932","yes","low-income"
"0933","yes","low-income"
"0934","yes","high-income"
"0935","yes","high-income"
"0936","yes","low-income"
"0937","yes","low-income"
"0938","no","low-income"
"0939","yes","high-income"
"0940","yes","low-income"
"0941",NA,"high-income"
"0942","no","low-income"
"0943","yes","low-income"
"0944","yes","high-income"
"0945","yes","low-income"
"0946","no","low-income"
"0947","yes","low-income"
"0948","no","low-income"
"0949","yes","low-income"
"0950","yes","high-income"
"0951","no","high-income"
"0952","no","high-income"
"0953","yes","high-income"
"0954","yes","low-income"
"0955","yes","high-income"
"0956","yes","low-income"
"0957","yes","high-income"
"0958","yes","low-income"
"0959","no","high-income"
"0960","yes","low-income"
"0961","yes","low-income"
"0962","yes","low-income"
"0963","yes","low-income"
"0964","yes","high-income"
"0965","no","low-income"
"0966","yes","high-income"
"0967","yes","high-income"
"0968","no","low-income"
"0969","yes","low-income"
"0970","yes","low-income"
"0971","yes","low-income"
"0972",NA,"low-income"
"0973","yes","low-income"
"0974","yes","low-income"
"0975","yes","low-income"
"0976",NA,"high-income"
"0977",NA,"high-income"
"0978","yes","high-income"
"0979","yes","high-income"
"0980",NA,"low-income"
"0981",NA,"low-income"
"0982","yes","high-income"
"0983",NA,"low-income"
"0984","yes","high-income"
"0985","yes","low-income"
"0986",NA,"low-income"
"0987",NA,"high-income"
"0988","yes","low-income"
"0989","no","high-income"
"0990","yes","high-income"
"0991",NA,"low-income"
"0992","no","high-income"
"0993","yes","low-income"
"0994","no","low-income"
"0995","yes","high-income"
"0996","yes","low-income"
"0997","yes","low-income"
"0998","yes","high-income"
"0999",NA,"high-income"
"1000","yes","low-income"
"1001",NA,"low-income"
"1002","yes","low-income"
"1003","yes","low-income"
"1004","yes","low-income"
"1005","yes","high-income"
"1006","yes","low-income"
"1007","yes","low-income"
"1008","yes","low-income"
"1009",NA,"low-income"
"1010","yes","high-income"
"1011","yes","high-income"
"1012","yes","high-income"
"1013","yes","high-income"
"1014","yes","high-income"
"1015","yes","high-income"
"1016","yes","high-income"
"1017","no","low-income"
"1018","yes","high-income"
"1019","yes","high-income"
"1020",NA,"low-income"
"1021","yes","low-income"
"1022","no","low-income"
"1023","yes","high-income"
"1024","no","low-income"
"1025","yes","high-income"
"1026","no","low-income"
"1027","yes","high-income"
"1028",NA,"low-income"
"1029","yes","high-income"
"1030",NA,"high-income"
"1031","yes","high-income"
"1032","no","high-income"
"1033","yes","high-income"
"1034",NA,"low-income"
"1035","no","low-income"
"1036","yes","low-income"
"1037","yes","high-income"
"1038","no","low-income"
"1039",NA,"high-income"
"1040",NA,"high-income"
"1041","yes","low-income"
"1042","no","low-income"
"1043","yes","low-income"
"1044","yes","low-income"
"1045","no","high-income"
"1046",NA,"high-income"
"1047","yes","high-income"
"1048","yes","low-income"
"1049","yes","low-income"
"1050","yes","high-income"
"1051",NA,"low-income"
"1052","yes","high-income"
"1053","yes","high-income"
"1054","yes","high-income"
"1055","yes","high-income"
"1056","yes","high-income"
"1057","yes","high-income"
"1058","yes","high-income"
"1059","yes","high-income"
"1060","yes","high-income"
"1061",NA,"low-income"
"1062","yes","high-income"
"1063","yes","high-income"
"1064","yes","low-income"
"1065","yes","low-income"
"1066","no","high-income"
"1067","no","low-income"
"1068","yes","low-income"
"1069","yes","low-income"
"1070","yes","high-income"
"1071","yes","low-income"
"1072","yes","high-income"
"1073","yes","low-income"
"1074","yes","high-income"
"1075","yes","low-income"
"1076","yes","high-income"
"1077","yes","low-income"
"1078","yes","low-income"
"1079","yes","high-income"
"1080",NA,"low-income"
"1081","no","low-income"
"1082","no","low-income"
"1083","yes","low-income"
"1084","yes","low-income"
"1085","yes","low-income"
"1086","yes","low-income"
"1087","yes","high-income"
"1088","yes","high-income"
"1089","yes","high-income"
"1090","no","low-income"
"1091","yes","low-income"
"1092","no","low-income"
"1093",NA,"low-income"
"1094",NA,"high-income"
"1095","yes","high-income"
"1096","yes","high-income"
"1097","yes","low-income"
"1098","yes","low-income"
"1099","no","high-income"
"1100","yes","high-income"
"1101","yes","low-income"
"1102","yes","high-income"
"1103","yes","high-income"
"1104","yes","high-income"
"1105","yes","low-income"
"1106","yes","low-income"
"1107","yes","low-income"
"1108","yes","low-income"
"1109","yes","low-income"
"1110","yes","high-income"
"1111",NA,"high-income"
"1112","yes","low-income"
"1113","yes","high-income"
"1114","yes","low-income"
"1115","yes","high-income"
"1116","yes","low-income"
"1117","yes","high-income"
"1118","yes","low-income"
"1119","no","high-income"
"1120","yes","high-income"
"1121","yes","low-income"
"1122","yes","low-income"
"1123","yes","high-income"
"1124","yes","high-income"
"1125","yes","low-income"
"1126","yes","high-income"
"1127",NA,"low-income"
"1128","yes","low-income"
"1129","no","low-income"
"1130","yes","low-income"
"1131",NA,"high-income"
"1132",NA,"high-income"
"1133","no","high-income"
"1134","yes","low-income"
"1135","yes","low-income"
"1136","yes","low-income"
"1137",NA,"low-income"
"1138","yes","low-income"
"1139","yes","high-income"
"1140","yes","low-income"
"1141",NA,"low-income"
"1142",NA,"low-income"
"1143","yes","low-income"
"1144",NA,"low-income"
"1145","no","low-income"
"1146","yes","low-income"
"1147","no","low-income"
"1148","yes","high-income"
"1149","yes","high-income"
"1150","yes","high-income"
"1151","yes","high-income"
"1152","yes","low-income"
"1153",NA,"low-income"
"1154","yes","low-income"
"1155","yes","low-income"
"1156","yes","high-income"
"1157","no","high-income"
"1158","no","low-income"
"1159","yes","high-income"
"1160",NA,"high-income"
"1161","yes","low-income"
"1162","yes","high-income"
"1163","yes","low-income"
"1164","yes","high-income"
